ASASSN-V,URL,TIC_ID,Is_EB,Type,Prob,Per,angDist,Match_Score
J144157.16-280357.6,https://asas-sn.osu.edu/variables/109467,52357,F,L,0.818,NON PERIODIC,0.861457,4
J144722.70-253725.9,https://asas-sn.osu.edu/variables/240384,93155,-,VAR,0.587,440.2991201,2.482214,4
J145018.66-242535.7,https://asas-sn.osu.edu/variables/237419,120016,-,VAR,0.63,402.7309734,4.420388,0
J045103.87-273110.7,https://asas-sn.osu.edu/variables/145419,615133,-,VAR,0.371,606.6256286,0.68118,4
J045211.38-251138.5,https://asas-sn.osu.edu/variables/145442,627436,T,EW,1.0,0.5789044,0.404614,4
J045338.11-290637.0,https://asas-sn.osu.edu/variables/76157,671564,T,EW,1.0,0.3855829,0.411112,4
J045635.61-274049.2,https://asas-sn.osu.edu/variables/146479,710783,F,HADS,1.0,0.078465,0.705278,4
J045803.54-295600.9,https://asas-sn.osu.edu/variables/76055,737546,-,VAR,0.301,NON PERIODIC,2.270377,4
J090113.85-022322.0,https://asas-sn.osu.edu/variables/382575,862763,T,EA,0.995,2.0317286,1.236453,4
J082835.22-135114.1,https://asas-sn.osu.edu/variables/AP46720486,927554,T,EA,0.995,7.308233,0.220011,4
J021514.83-104802.7,https://asas-sn.osu.edu/variables/245737,1029392,-,VAR,0.394,NON PERIODIC,2.247322,4
J021742.43-081639.2,https://asas-sn.osu.edu/variables/AP16654353,1045298,T,EA,1.0,1.4634458,0.277852,4
J022839.66-093543.7,https://asas-sn.osu.edu/variables/268051,1129452,-,VAR,0.359,NON PERIODIC,1.717343,4
J050048.95-321238.8,https://asas-sn.osu.edu/variables/AP37130767,1450518,T,EW,1.0,0.3337513,0.973239,4
J110710.66-143817.5,https://asas-sn.osu.edu/variables/181464,1538794,T,EA,1.0,0.4114262,0.795115,4
J123232.43-153122.3,https://asas-sn.osu.edu/variables/197533,1630438,-,VAR,0.688,807.3283637,0.783367,4
J123246.08-162620.6,https://asas-sn.osu.edu/variables/285404,1630690,F,ROT:,0.319,NON PERIODIC,1.628277,4
J085350.13-250503.6,https://asas-sn.osu.edu/variables/393506,2020964,-,VAR,0.3,NON PERIODIC,0.78631,4
J052942.67+352231.5,https://asas-sn.osu.edu/variables/210555,3311888,T,EW,0.803,4.0035336,1.556651,2
J004032.42-062851.7,https://asas-sn.osu.edu/variables/184951,3816260,-,VAR,0.74,420.4886012,0.583134,4
J004149.62-060556.8,https://asas-sn.osu.edu/variables/AP16775532,3836983,F,ROT,0.991,0.3541177,0.301509,4
J073830.22+334243.0,https://asas-sn.osu.edu/variables/74718,4164713,-,VAR,0.719,649.9319065,1.513685,4
J052244.88-010231.9,https://asas-sn.osu.edu/variables/212383,4200337,F,ROT,0.992,8.152767,0.428608,1
J052330.94-010424.1,https://asas-sn.osu.edu/variables/212354,4206238,-,YSO,0.478,NON PERIODIC,1.129986,4
J023129.74-090332.7,https://asas-sn.osu.edu/variables/268108,4629065,T,EA,0.967,5.8971399,1.601414,4
J071802.16-194057.5,https://asas-sn.osu.edu/variables/426891,4713510,T,EB,1.0,0.6241416,114.546486,0
J121114.01+290627.0,https://asas-sn.osu.edu/variables/119609,4735737,F,ROT:,0.377,NON PERIODIC,1.396645,4
J023908.74-102748.1,https://asas-sn.osu.edu/variables/268569,4742129,T,EA,0.89,1.0360089,1.679055,4
J071828.98-201859.5,https://asas-sn.osu.edu/variables/AP18793055,4783276,T,EA,1.0,2.1689219,0.589608,4
J092751.93-391052.3,https://asas-sn.osu.edu/variables/339082,4970499,-,CV,,NON PERIODIC,0.40516,4
J070946.79-011513.8,https://asas-sn.osu.edu/variables/J070946.79-011513.8,5001059,T,EA,0.929,23.1291131,0.053533,4
J175807.11+150822.0,https://asas-sn.osu.edu/variables/96093,5205367,T,EA,0.996,3.9932482,1.919866,4
J071057.87-035243.4,https://asas-sn.osu.edu/variables/337665,5283033,-,VAR,0.427,NON PERIODIC,0.300347,4
J095755.76-212847.3,https://asas-sn.osu.edu/variables/128558,5480687,-,VAR,0.344,849.165278,5.006289,2
J230819.62-152434.4,https://asas-sn.osu.edu/variables/205628,5656273,-,VAR,0.589,649.5562588,1.679676,4
J115634.29-180353.4,https://asas-sn.osu.edu/variables/APO191,5713097,F,ELL,0.521,0.41596,0.060889,4
J231500.19-150248.6,https://asas-sn.osu.edu/variables/205455,5795305,-,VAR,0.379,NON PERIODIC,1.45283,4
J072742.97-114748.0,https://asas-sn.osu.edu/variables/398771,5917423,-,GCAS,0.304,NON PERIODIC,2.472305,4
J125444.50-211840.0,https://asas-sn.osu.edu/variables/152871,5981829,F,ROT:,0.308,NON PERIODIC,0.857224,4
