TIC_ID,ASASSN-V,RAJ2000,DEJ2000,Vmag,Amp,Per,Type,Prob,HJD,Gaia,pmRA,pmDE,Vt,Dist,WISEA,Jmag,J-K,W1-W2,APASS,B-V,E(B-V),Ref,URL,2M,angDist,Match_Score,Match_Mag_Band,Match_Mag_Diff
2236015,J051818.47+334600.0,79.57697,33.76667,7.2,1.02,NON PERIODIC,VAR,0.256,2457256.09196,,,,,,J051818.90+334602.2,6.19,-0.075,0.068,,,0.54,II,https://asas-sn.osu.edu/variables/265694,2M,5.842937,-1,V,1.0526800000000005
4030617,J162448.30-531808.9,246.20124,-53.30248,13.61,0.35,NON PERIODIC,VAR,0.362,2457835.87446,5933783299830647808,-4.705,-5.526,119.74538,3480.84,J162448.34-531803.8,12.932,0.512,-0.1,,,1.074,II,https://asas-sn.osu.edu/variables/343785,2M,30.331168,-1,V,3.3869999999999987
4200337,J052244.88-010231.9,80.687,-1.04219,13.56,0.17,8.152767,ROT,0.992,2457044.85594,3220466607115456000,1.74,-0.712,3.03951,341.08,J052244.89-010232.2,12.004,0.961,0.104,,,0.196,II,https://asas-sn.osu.edu/variables/212383,2M,0.428608,-1,V,1.5899999999999999
5092088,J092832.82-370536.1,142.13677,-37.09335,14.65,0.46,0.9926664,EB,0.996,2457710.84169,5436222161902804992,-5.112,4.085,125.59231,4049.14,J092832.71-370535.6,14.134,0.329,-0.057,42432313,0.381,0.154,II,https://asas-sn.osu.edu/variables/336676,2M,51.624896,-1,V,2.0700000000000003
5906850,J093619.81-373856.3,144.08255,-37.64898,12.19,0.26,46.3140929,SR,1.0,2457901.5943,5435993463484248064,-4.49,1.605,28.60127,1265.46,J093619.72-373855.1,6.735,1.368,0.034,42429300,1.775,0.214,II,https://asas-sn.osu.edu/variables/338885,2M,99.408983,-1,V,1.0350000000000001
7203983,J002523.86-465525.4,6.34943,-46.92371,10.38,0.23,NON PERIODIC,ROT:,0.385,2458380.57395,4979034472472206336,11.509,18.644,27.95884,269.21,J002524.15-465526.6,9.509,0.292,-0.02,37422840,0.554,0.012,II,https://asas-sn.osu.edu/variables/99101,2M,7.632314,-1,V,3.9743999999999993
7484436,J162708.73-533941.1,246.78638,-53.66141,14.04,0.4,201.4702644,SR,1.0,2457994.51971,5933573087044169728,-2.313,-6.136,22.71935,730.94,J162708.70-533941.1,6.133,1.511,0.347,51287676,,0.77,II,https://asas-sn.osu.edu/variables/340300,2M,38.374227,-1,V,1.876999999999999
7808834,J043053.71-411028.9,67.72381,-41.17469,8.1,2.95,NON PERIODIC,GCAS,0.286,2457839.52873,4863928799183388672,21.555,-15.079,19.01894,152.53,J043053.35-411027.5,6.34,0.204,0.115,37101219,0.36,0.022,II,https://asas-sn.osu.edu/variables/136675,2M,4.52947,-1,V,1.08
8423012,J154216.54-331608.5,235.5689,-33.26904,17.04,0.98,NON PERIODIC,VAR,0.438,2458235.64692,6015830777339180032,-2.471,-1.304,42.85707,3236.11,,,,,,,0.266,II,https://asas-sn.osu.edu/variables/649738,2M,37.69726,-1,V,5.7379999999999995
8865471,J093132.35+350609.6,142.88478,35.10268,6.53,1.61,NON PERIODIC,L,0.911,2457047.86991,797655936030680960,-54.461,-97.43,81.06563,153.22,J093132.36+350610.8,2.549,0.933,-0.555,,,0.012,II,https://asas-sn.osu.edu/variables/109103,2M,2.268149,-1,V,1.1531000000000002
9588485,J171719.63+330608.3,259.33181,33.1023,9.77,5.71,NON PERIODIC,VAR,0.472,2457467.01755,,,,,,J171719.50+330600.0,5.115,-0.119,0.148,,,0.063,II,https://asas-sn.osu.edu/variables/53124,2M,7.959507,-1,V,5.0065599999999995
