VSX_band,Description,TIC_band,Notes
,Visual magnitude,V,The list is primarily based on https://www.aavso.org/vsx/index.php?view=about.passbands
*,Non-standard passband,GAIA,
B,Johnson B,B,
b,Strömgren b,B,
B*,Geneva passband,B,
BT,Tycho B,B,
c,ATLAS cyan 420-650,V,
CCD,CCD clear filter,GAIA,
clear,unfiltered,GAIA,
CoRoT,CoRoT passband,GAIA,370 – 950nm
CR,Unfiltered with R zero point,T,
CV,Unfiltered with V zero point,V,
G,Geneva passband,g,
g,Sloan g,g,
G,Gaia G passband (unfiltered),GAIA,
g',Sloan g',g,
H,2MASS H,H,
HI-1A,Helios 1A passband,GAIA,A guess based on Helios' mission (focused on sun)
Hp,Hipparcos passband,V,
I,Johnson I,i,
i,Sloan i,i,
i',Sloan i',i,
Ic,Cousins Ic,T,TESS band is centered on Cousins Ic
i_P1,Pan-STARRS i,i,
J,Infrared passband 1.24 µm,J,
j,SRC-J plates,J,
K,Infrared passband 2.19 µm,K,
K',Broadband 1.9-2.3 µm,K,
Kp,Kepler magnitude,GAIA,"~ 400-900nm, max around 600nm"
Ks,2MASS Ks,K,
L,Infrared passband,w1,
L',Infrared passband 3.79 µm,w1,
M,Infrared passband 4.64 µm,w2,
mp,Photographic magnitude,GAIA,
mpg,Photographic,GAIA,
mv,Visual,V,
NUV,GALEX near-UV,u,
o,ATLAS orange 560-820 nm,GAIA,
p,Photographic,GAIA,
P,Photographic,GAIA,
pg,photographic blue,B,"amended, based on Vizier VSX note 4"
PH,Photographic,GAIA,
pv,Photovisual,V,
R,Johnson,r,
r,Sloan r,r,
r',Sloan r',r,
R1,ROTSE-I,GAIA,A guess based on mission nature (optical after glow of GRB)
Rc,Cousins,r,
RF,Red filter,r,
s,Sloan passband (unspecified),GAIA,
st,Visual steps,V,
U,Johnson U,u,
u,Sloan u,u,
u',Sloan u',u,
V,Johnson V,V,
v,Strömgren v,V,
VT,Tycho V,V,
W1,WISE passband 3.368 µm,w1,
Y,Geneva passband,J,
y,Strömgren y,J,
z,Sloan z,z,
z',Sloan z',z,
[3.6],IRAC 3.6 µm,w1,
TESS,TESS passband,T,"Not in the master list, based on practical usage"
w,white (clear),GAIA,based on Vizier VSX note 4
C,white (clear),GAIA,based on Vizier VSX note 4
rf,photographic red,r,based on Vizier VSX note 4
bj,photographic blue,B,based on Vizier VSX note 4
H1A,STEREO mission filter (essentially 600-800nm),GAIA,based on Vizier VSX note 4
H1B,STEREO mission filter (essentially 600-800nm),GAIA,based on Vizier VSX note 4
