tic_id,best_subject_id,best_subject_sector,is_eb_catalog,eb_score_group,eb_score,num_votes_eb,num_votes_transit,num_users,num_comments,updated_at,best_subject_img_id,num_subjects,sectors,subject_ids,SIMBAD_MAIN_ID,SIMBAD_Is_EB,SIMBAD_OTYPES,SIMBAD_V__vartyp,SIMBAD_angDist,SIMBAD_Match_Score,VSX_OID,VSX_n_OID,VSX_V,VSX_Name,VSX_Is_EB,VSX_Type,VSX_Period,VSX_angDist,VSX_Match_Score,ASASSN_Name,ASASSN_URL,ASASSN_Is_EB,ASASSN_Type,ASASSN_Prob,ASASSN_Per,ASASSN_angDist,ASASSN_Match_Score
23369,64603192,38,-,01,1,1,0,1,1,2021-07-27 15:50:23.097000+00:00,f15b962d-d3c9-44a7-8f5c-c07dddb1b9d5,1,38,64603192,LP  857-62,-,PM*|*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
49779,64601285,38,-,01,1,1,0,2,2,2021-07-22 22:13:28.931000+00:00,d9516391-ee04-4ff9-b68b-156bd7687668,1,38,64601285,,-,,,,,,,,,-,,,,,,,-,,,,,
52357,64613852,38,F,03,3,3,0,4,4,2021-07-26 06:34:44.882000+00:00,771ba55c-b16b-4146-a035-a2f0c3dd898a,2,"38,11","64613852,34495736",HD 129195,-,V*|*|IR,,,3.0,58594,B,0,NSV 20159,-,VAR,0.3778,0.06348,1.0,J144157.16-280357.6,https://asas-sn.osu.edu/variables/109467,F,L,0.818,0.0,0.861457,4.0
72331,64610692,38,-,03,3,3,0,6,6,2021-08-03 10:21:55.190000+00:00,3e14a7c3-8187-4991-8dfb-8ce09774c698,1,38,64610692,LP  858-21,-,PM*|*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
91961,34552742,11,-,02,2,2,0,4,4,2020-04-08 11:52:37.269000+00:00,9cc896de-8bb0-48aa-b7b3-99ac129098f8,1,11,34552742,,-,,,,,,,,,-,,,,,,,-,,,,,
93155,64603128,38,F,01,1,1,0,1,1,2021-07-23 10:17:21.526000+00:00,6f70ef8b-6be9-400f-b304-0a6593976eec,1,38,64603128,*  55 Hya,-,*|IR,,,5.0,58618,B,0,NSV 20183,F,ACV,4.4136,0.70089,1.0,J144722.70-253725.9,https://asas-sn.osu.edu/variables/240384,-,VAR,0.587,440.2991201,2.482214,4.0
111027,34472771,11,-,00-,-2,1,3,3,3,2020-04-08 20:21:05.590000+00:00,b6dc86dc-3961-49b5-8a1d-d2780a969e8c,1,11,34472771,TYC 6751-756-1,-,*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
120016,64609683,38,T,03,3,3,0,4,4,2021-07-26 21:59:42.528000+00:00,abd207e7-b130-43c3-a56a-2f559a0f2c32,2,"38,11","64609683,34479911",HD 130693,T,EB*|V*|*|IR|X,EC,,2.0,98995,B,0,ASAS J145019-2425.6,T,EW,0.326383,7.154747,1.0,J145018.66-242535.7,https://asas-sn.osu.edu/variables/237419,-,VAR,0.63,402.7309734,4.420388,0.0
615133,56366876,32,F,01,1,1,0,2,2,2021-02-02 10:49:15.103000+00:00,6aaa4916-76c0-43fc-b4cf-96ebfcd85742,1,32,56366876,HD  30984,F,Ro*|**|V*|*|IR|X,rot,,5.0,280964,B,0,ASAS J045103-2731.2,F,ROT,5.876,0.162138,1.0,J045103.87-273110.7,https://asas-sn.osu.edu/variables/145419,-,VAR,0.371,606.6256286,0.68118,4.0
627436,30952109,5,T,03,3,3,0,3,3,2019-03-14 04:23:39.924000+00:00,435085b4-3822-4786-913f-d79ac94d97ab,4,"5,5,5,5","30952109,30952105,30952113,30952117",ASAS J045211-2511.7,T,EB*|EB*|EB*|V*|**|*|IR,Ecl,,5.0,76623,B,0,ASAS J045211-2511.7,T,EC,0.57889,5.843543,1.0,J045211.38-251138.5,https://asas-sn.osu.edu/variables/145442,T,EW,1.0,0.5789044,0.404614,4.0
671564,30970263,5,T,02,2,2,0,3,3,2019-03-11 17:47:27.618000+00:00,7ef36b37-7fe2-4b70-baf1-e92b56bd17ab,2,"5,5","30970263,30970260",ASAS J045338-2906.6,T,EB*|EB*|EB*|V*|*|EB?|IR,EW:,,5.0,76658,B,0,TX Cae,T,EW,0.385568,0.047075,1.0,J045338.11-290637.0,https://asas-sn.osu.edu/variables/76157,T,EW,1.0,0.3855829,0.411112,4.0
672624,56370156,32,-,01,1,1,0,1,1,2021-02-07 12:35:43.295000+00:00,70931782-aa89-480d-80b4-9cad5edd8d5d,1,32,56370156,HD  31359,-,*|IR|X,,,3.0,,,,,-,,,,,,,-,,,,,
710783,30948887,5,F,01,1,1,0,4,4,2020-02-08 00:29:16.967000+00:00,22e49c3e-c09c-4114-95f4-10ecdac599ba,1,5,30948887,ATO J074.1485-27.6801,F,Pu*|*|IR,PULS,0.001285,5.0,76721,B,0,ASAS J045636-2740.8,F,DSCT,0.078465,0.085479,1.0,J045635.61-274049.2,https://asas-sn.osu.edu/variables/146479,F,HADS,1.0,0.078465,0.705278,4.0
737546,30959821,5,T,03,3,3,0,4,4,2019-03-14 02:11:36.773000+00:00,ef6a887e-10d9-473a-925c-03f01acbdc28,3,"5,5,5","30959821,30959826,30959831",CPD-30   740,T,EB*|V*|*|IR,EA,,5.0,76767,B,0,ASAS J045804-2956.0,T,EA,3.06772,0.055934,1.0,J045803.54-295600.9,https://asas-sn.osu.edu/variables/76055,-,VAR,0.301,0.0,2.270377,4.0
759171,58407112,34,-,07+,7,7,0,7,7,2021-03-19 21:01:15.975000+00:00,b95cfcf5-9167-4b20-baec-aa263657fde1,1,34,58407112,HD  65610,-,*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
800254,32638303,8,-,00-,0,1,1,4,4,2019-05-08 08:40:33.953000+00:00,f0ec8a82-1471-41d5-83c1-236f7d302a4e,1,8,32638303,,-,,,,,,,,,-,,,,,,,-,,,,,
862763,58267582,34,T,05,5,5,0,8,8,2021-03-29 14:34:48.528000+00:00,17f83674-588c-4737-a762-4460804ab8d8,1,34,58267582,ATO J135.3080-02.3895,-,V*|*|IR,LPV:,,5.0,88484,B,0,V0636 Hya,T,EA,2.031716,0.077437,1.0,J090113.85-022322.0,https://asas-sn.osu.edu/variables/382575,T,EA,0.995,2.0317286,1.236453,4.0
867234,58277551,34,-,00-,-1,1,2,4,4,2021-03-16 13:04:54.857000+00:00,8838e59f-4f1d-496f-beb4-0584334bdd97,1,34,58277551,TYC 6575-1727-1,-,*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
878056,32014306,7,-,00-,0,1,1,1,1,2019-04-06 06:15:41.555000+00:00,6c2549bf-ddac-4172-a4c5-25e4c19ddd60,1,7,32014306,,-,,,,,,,,,-,,,,,,,-,,,,,
889317,58289495,34,-,05,5,5,0,5,5,2021-03-18 23:03:11.301000+00:00,3e4b37b6-5e4f-4fd1-9e76-54dd8e76c38d,1,34,58289495,UCAC4 376-051253,-,*|IR,,0.076409,2.0,,,,,-,,,,,,,-,,,,,
927257,58384662,34,-,03,3,3,0,3,3,2021-03-17 13:43:12.183000+00:00,6c6d54a4-2c62-4210-a970-c73a4bd6771d,1,34,58384662,,-,,,,,,,,,-,,,,,,,-,,,,,
927554,58296545,34,T,01,1,1,0,3,3,2021-03-29 21:58:46.255000+00:00,44c0e84b-46d4-4342-9e74-06b42ed06048,1,34,58296545,V* V426 Hya,T,EB*|V*|*|IR,E,,5.0,42719,B,0,V0426 Hya,T,EA,7.3089,0.018799,1.0,J082835.22-135114.1,https://asas-sn.osu.edu/variables/AP46720486,T,EA,0.995,7.308233,0.220011,4.0
934557,32621293,8,-,01,1,1,0,1,1,2019-05-01 15:29:17.290000+00:00,c2f4c1e4-0f92-4766-aa53-253bf7814778,1,8,32621293,HD  73927,-,*|IR,,,3.0,,,,,-,,,,,,,-,,,,,
1029392,30179344,4,F,01,1,1,0,2,2,2019-02-11 18:32:04.129000+00:00,1176838c-113c-4349-969e-298e290bf506,2,"4,4","30179344,30179346",V* RV Cet,F,RR*|RR*|V*|*|IR,RR,,5.0,9084,B,0,RV Cet,F,RRAB/BL,0.62341,0.082898,1.0,J021514.83-104802.7,https://asas-sn.osu.edu/variables/245737,-,VAR,0.394,0.0,2.247322,4.0
1042868,41016259,21,-,00-,-3,1,4,7,7,2020-04-09 17:03:50.841000+00:00,72995d36-14e2-4683-a0f6-5795b5423872,1,21,41016259,*  24 LMi,-,PM*|*|IR|UV,,,5.0,,,,,-,,,,,,,-,,,,,
1045298,30253322,4,T,03,3,3,0,3,3,2019-02-16 13:16:06.339000+00:00,60cae498-7bb7-470b-813d-0e4626b88bff,3,"4,4,4","30253322,30253324,30253328",ASAS J021742-0816.7,T,EB*|V*|*|IR,E,,3.0,74626,B,0,ASAS J021742-0816.7,T,EA,1.46344,0.087827,1.0,J021742.43-081639.2,https://asas-sn.osu.edu/variables/AP16654353,T,EA,1.0,1.4634458,0.277852,4.0
