TIC_ID,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff,B_Teff,logg,b_logg,B_logg,[Fe/H],b_[Fe/H],B_[Fe/H],Dist,b_Dist,B_Dist,A0,b_A0,B_A0,AG,b_AG,B_AG,E(BP-RP),b_E(BP-RP),B_E(BP-RP),Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist,Match_Score,Match_Mag,Match_PM,Match_Plx,Match_Mag_Band,Match_Mag_Diff,Match_PMRA_DiffPct,Match_PMDEC_DiffPct,Match_Plx_DiffPct
4254645,Gaia DR3 3214077512549609728,81.11972757748,-2.39704123707,0.001,0.0,76,1636148068921376768,3214077512549609728,646412904,0.5353,0.2584,,,,,,,,,0.4175,,,,,,,,,,99,99,99,0,125.1799,33418.0,1.59,1848.5,3,0,,,,,,,,,11,8,0.576998,11,0.3761,94.51,18,0,,0,94,199000033.65039,2160520.0,92.1076,4.940234,0.012105,7,184210000.0,6275520.0,29.3538,4.675258,0.037093,9,88676300.0,5554730.0,15.9641,4.878377,0.068116,1.371,0.0,7.0,0.0,9.0,0.0,-0.203119,-0.264976,0.061857,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,81.11972757748,-2.39704123707,0.5353,0.258437,0.4175,1.787425,-2,F,-,-,GAIA,3.0855359999999994,,,
12472994,Gaia DR3 2320255102688809472,3.79652444151,-29.94139621027,0.0,0.0,45,1636148068921376768,2320255102688809472,31587941,0.0223,0.0222,2.0634,0.0278,74.3264,40.966,20.73,0.023,-35.334,0.024,0.1481,0.4115,0.337,-0.1286,-0.0216,-0.0589,0.4819,-0.036,-0.2249,0.1721,264,0,219,45,6.218,387.72,0.104,4.9719,95,0,,1.5242,0.0052,-0.06,0.027,0.0,-0.005,-0.029,25,14,0.037335,36,0.1266,48.12,28,0,1.314,0,269,46754.77819,32.7495,1427.65,14.012802,0.002858,36,26791.6,129.48,206.917,14.268544,0.005943,36,42684.2,217.544,196.21,13.172229,0.006701,1.486,0.0,8.0,0.0,8.0,0.0,1.096315,0.255742,0.840573,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999757,,,,,,,,,,,,,,,,,,,,,,,3.79641811693,-29.941239169,0.362388,0.381549,0.1922,0.891001,-1,F,-,-,GAIA,1.4835979999999989,,,
18028547,Gaia DR3 770779542519730304,172.70854569759,41.28637929468,0.016,0.01,171,1636148068921376768,770779542519730304,546589516,9.8147,15.5956,,,,,,,,,-0.1497,,,,,,,,,,241,241,241,0,3062.554,202190000.0,117.9,9252800.0,3,0,,,,,,,,,27,18,29.007099,32,0.2512,92.98,99,0,,0,248,19070772.78968,306978.0,62.1242,7.486446,0.017693,28,20451900.0,14638.1,1397.17,7.061706,0.002896,28,20785600.0,21015.0,989.083,6.453488,0.003936,2.162,0.0,0.0,0.0,0.0,0.0,0.608218,-0.42474,1.032958,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999921,,,,,,,,,,,,,,,,,,,,,,,172.70854569759,41.28637929468,9.81471,15.595564,-0.1497,2.259071,-1,F,-,-,T,1.0124459999999997,,,
27308818,Gaia DR3 2135157680276633728,294.88027690745,50.26687856715,0.0,0.0,0,1636148068921376768,2135157680276633728,459001524,0.0946,0.1158,2.0224,0.1009,20.0357,7.096,0.348,0.127,-7.087,0.148,0.0015,-0.1816,-0.2396,-0.0552,-0.0387,-0.0861,-0.5495,0.1122,0.0708,0.1011,357,357,348,9,119.5527,61765.0,1.217,1993.9,31,0,1.59,,,,,,,,41,26,0.218692,45,0.05642,175.6,99,0,8.127,0,356,276591.84166,320.391,863.294,12.082768,0.003029,41,262911.0,1016.85,258.554,11.789021,0.005042,37,290348.0,1002.41,289.651,11.0906,0.005323,2.0,0.0,41.0,0.0,37.0,0.0,0.698421,-0.293748,0.992168,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999964,,,,,,,,,,,,,,,,,,,,,,,294.88027449005,50.26691006516,2.049601,2.429448,0.1038,0.336676,-1,F,-,-,T,1.0027679999999997,,,
45696212,Gaia DR3 5317047711487536256,131.17691789576,-54.70618801061,0.002,0.002,127,1636148068921376768,5317047711487536256,985664925,2.1189,1.8911,,,,,,,,,-0.3867,,,,,,,,,,40,0,40,0,4.3667,84.515,1.589,5.9146,3,0,,,,,,,,,5,5,4.862867,5,0.07149,103.6,0,0,,0,40,2190.40602,17.07,128.319,17.336056,0.008899,0,,,,,,0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.00099,1.7e-05,0.994594,,,,,,,,,,,,,,,,,,,,,,,131.17691789576,-54.70618801061,2.118925,1.891097,-0.3867,10.654069,-2,F,-,-,GAIA,8.229146,,,
50743469,Gaia DR3 3220756843825383936,83.0016562493,-0.29907889258,0.007,0.002,140,1636148068921376768,3220756843825383936,1310412140,4.6828,5.3896,,,,,,,,,-0.8269,,,,,,,,,,44,44,42,2,234.8067,261520.0,6.36,25684.0,3,0,,,,,,,,,6,6,15.431645,6,0.321,26.76,0,0,,0,38,2373764657.45134,30624800.0,77.5111,2.248773,0.014276,3,1171840000.0,6416380.0,182.633,2.666371,0.006567,5,795487000.0,10081700.0,78.9042,2.496313,0.01427,0.829,0.0,3.0,0.0,5.0,0.0,0.170058,0.417598,-0.24754,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.095872,0.517441,0.000215,,,,,,,,,,,,,,,,,,,,,,,83.0016562493,-0.29907889258,4.682842,5.389616,-0.8269,0.047256,-2,F,-,-,GAIA,6.914657,,,
55652063,Gaia DR3 4761524752938018816,73.98850019205,-61.1625454103,0.0,0.0,175,1636148068921376768,4761524752938018816,1101987394,0.0197,0.0234,0.4124,0.0211,19.5274,10.461,0.403,0.026,10.453,0.032,-0.031,0.0898,0.0642,-0.1521,-0.0702,-0.1535,-0.3095,0.1452,-0.1574,-0.021,335,0,334,1,0.1254,347.85,0.0,0.0,31,0,1.585,,,,,,,,38,24,0.045803,44,0.01588,78.24,0,0,1.004,0,356,13167.51507,4.41604,2981.75,15.388607,0.002779,44,7448.01,19.0442,391.091,15.658442,0.003936,41,8236.59,13.8199,595.994,14.958527,0.004196,1.191,0.0,28.0,0.0,26.0,0.0,0.699915,0.269835,0.43008,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999901,6066.1,6032.5,6107.9,4.0848,4.0492,4.1181,-0.6901,-0.7216,-0.6578,2073.9485,1994.1855,2157.5127,0.0411,0.0214,0.063,0.0352,0.0183,0.0541,0.0191,0.0099,0.0294,MARCS,73.98849647718,-61.16259186964,0.419792,0.527306,-0.0069,3.929357,-4,F,F,F,GAIA,4.100807,99.95583929448068,101.71827689030182,99.01025504412333
63483267,Gaia DR3 5610688990507134208,105.39001518388,-27.22292783338,0.0,0.0,179,1636148068921376768,5610688990507134208,932822336,0.0266,0.0342,1.2019,0.0416,28.8972,4.842,-3.052,0.034,3.759,0.045,-0.0083,-0.0144,-0.1697,0.0928,0.0698,0.0954,-0.034,0.118,0.1217,-0.0275,549,549,548,1,3.7006,10994.0,0.466,279.87,31,0,1.829,,,,,,,,62,28,0.062133,63,0.03018,97.68,0,0,1.114,1,538,32140689.51665,17359.4,1851.48,6.919729,0.002817,60,25614900.0,33231.5,770.803,6.817309,0.003126,59,11707900.0,15307.3,764.857,7.076697,0.004037,1.161,0.0,21.0,0.0,59.0,0.0,-0.259388,-0.10242,-0.156969,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,105.39003043641,-27.22294453985,0.545453,0.71861,-0.0362,4.538479,-1,F,-,-,T,1.4877289999999999,,,
91329515,Gaia DR3 93806419367307904,28.38294631836,19.29547781146,0.0,0.0,141,1636148068921376768,93806419367307904,888918051,0.1754,0.1936,,,,,,,,,-0.44,,,,,,,,,,104,104,102,2,82.5186,11746.0,0.801,585.05,3,0,,,,,,,,,12,8,0.469473,15,0.02899,74.85,0,0,,0,117,263609294.58148,359239.0,733.8,4.634965,0.003127,14,192325000.0,306230.0,628.043,4.62845,0.003282,12,108171000.0,250172.0,432.388,4.662617,0.004538,1.14,0.0,0.0,0.0,0.0,0.0,-0.034167,-0.006515,-0.027652,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999938,,,,,,,,,,,,,,,,,,,,,,,28.38294631836,19.29547781146,0.17543,0.193608,-0.44,2.195766,-1,F,-,-,T,1.8269650000000004,,,
98064760,Gaia DR3 6714371375119492864,289.91309968574,-40.81655308525,0.009,0.007,82,1636148068921376768,6714371375119492864,1673609533,8.7034,7.1973,,,,,,,,,0.0555,,,,,,,,,,125,125,125,0,1880.8845,66015000.0,56.091,1708900.0,3,0,,,,,,,,,14,11,13.841115,17,0.211,5.46,92,0,,0,79,2094328.516,4818.5,434.643,9.884755,0.003719,13,1818940.0,4934.66,368.605,9.688997,0.004057,12,2573050.0,5153.68,499.265,8.721775,0.00436,2.097,0.0,13.0,0.0,12.0,0.0,0.967222,-0.195758,1.16298,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999974,,,,,,,,,,,,,,,,,,,,,,,289.91309968574,-40.81655308525,8.703363,7.197324,0.0555,2.485623,-1,F,-,-,T,1.1407550000000004,,,
