subject_id,eb_score,num_votes_eb,num_votes_transit,num_users,num_comments,updated_at
28349178,1,1,0,1,1,2018-12-04 22:19:39.676000+00:00
28394874,1,1,0,2,2,2018-12-07 20:27:13.327000+00:00
28394979,1,1,0,1,1,2018-12-12 22:03:50.031000+00:00
28395014,3,3,0,8,9,2021-07-20 02:27:35.367000+00:00
28395015,3,3,0,3,3,2018-12-08 16:42:21.908000+00:00
28395016,2,2,0,2,2,2018-12-09 00:39:13.923000+00:00
28395110,2,2,0,4,4,2019-01-17 16:42:52.809000+00:00
28395111,2,2,0,3,3,2018-12-08 14:06:29.226000+00:00
28395112,3,3,0,4,4,2018-12-14 14:40:29.321000+00:00
28395113,2,2,0,2,2,2018-12-14 14:22:29.775000+00:00
28395231,1,1,0,1,1,2018-12-06 21:35:30.062000+00:00
28395238,4,4,0,7,7,2019-01-18 10:16:56.873000+00:00
28395239,1,1,0,1,1,2018-12-08 14:02:33.348000+00:00
28395240,1,1,0,1,1,2018-12-08 10:35:28.630000+00:00
28395286,1,1,0,3,3,2018-12-09 12:56:59.242000+00:00
28395287,1,1,0,1,1,2018-12-09 11:45:39.364000+00:00
28395288,2,2,0,3,3,2018-12-12 17:47:28.958000+00:00
28395289,1,1,0,2,2,2019-01-05 16:18:41.067000+00:00
28395290,1,2,1,3,3,2018-12-09 16:58:28.985000+00:00
28395299,1,1,0,2,2,2018-12-12 13:47:19.359000+00:00
28395300,1,1,0,1,1,2018-12-06 20:23:47.339000+00:00
28395365,1,1,0,2,2,2019-01-28 15:58:12.358000+00:00
28395414,2,2,0,4,4,2019-01-14 22:32:19.586000+00:00
28395416,1,1,0,1,1,2018-12-08 14:03:17.033000+00:00
28395622,0,3,3,8,8,2019-03-26 09:01:53.775000+00:00
28395623,2,2,0,4,4,2019-10-19 19:06:34.331000+00:00
28395624,3,3,0,5,5,2018-12-14 23:16:38.606000+00:00
28395625,1,2,1,3,3,2018-12-11 07:19:06.094000+00:00
28395702,1,1,0,5,5,2019-01-14 16:23:20.941000+00:00
28395703,0,1,1,2,2,2018-12-09 01:25:52.401000+00:00
28395704,2,2,0,2,2,2018-12-09 12:41:41.368000+00:00
28395705,5,5,0,6,6,2018-12-11 04:25:02.321000+00:00
28395847,1,1,0,4,4,2018-12-12 19:21:03.151000+00:00
28395885,-1,3,4,8,10,2019-01-14 16:06:04.122000+00:00
28395888,-1,1,2,4,4,2019-01-14 16:12:49.412000+00:00
28395939,1,1,0,4,4,2019-01-13 18:26:25.612000+00:00
28395940,1,1,0,2,2,2018-12-08 12:21:56.418000+00:00
28395945,1,1,0,2,2,2018-12-12 07:58:38.714000+00:00
28396018,2,2,0,4,4,2019-01-13 19:07:21.589000+00:00
28396019,5,5,0,5,5,2018-12-17 14:09:22.600000+00:00
28396022,1,1,0,2,2,2018-12-06 21:15:30.404000+00:00
28396025,1,1,0,1,1,2018-12-06 21:13:42.841000+00:00
28396088,0,2,2,8,8,2019-10-19 19:11:16.781000+00:00
28396089,0,2,2,4,4,2018-12-14 21:56:53.743000+00:00
28396092,0,1,1,2,2,2018-12-09 09:01:56.633000+00:00
28396094,-1,1,2,2,3,2018-12-09 05:53:43.389000+00:00
28396142,1,1,0,1,1,2018-12-08 23:04:15.697000+00:00
28396175,1,1,0,1,1,2018-12-06 21:52:38.200000+00:00
28396177,1,1,0,3,3,2019-01-13 18:52:32.147000+00:00
28396193,0,1,1,1,2,2019-01-11 10:16:29.228000+00:00
28396511,0,1,1,3,3,2018-12-13 02:56:01.307000+00:00
28396614,1,1,0,4,4,2020-02-29 18:26:45.483000+00:00
28396616,1,1,0,1,1,2018-12-07 01:29:23.879000+00:00
28396620,4,4,0,7,7,2018-12-14 21:48:33.519000+00:00
28396621,2,2,0,4,4,2018-12-14 21:39:12.268000+00:00
28396652,1,1,0,1,1,2018-12-07 15:12:17.288000+00:00
28396653,0,1,1,2,2,2018-12-12 03:04:28.873000+00:00
28396723,1,1,0,2,2,2018-12-13 19:31:21.221000+00:00
28396882,1,1,0,1,1,2018-12-10 14:18:46.024000+00:00
28397000,1,1,0,2,2,2018-12-14 02:18:57.494000+00:00
28397014,1,1,0,1,1,2018-12-09 07:56:39.008000+00:00
28397021,4,4,0,4,4,2018-12-08 17:25:58.423000+00:00
28397023,2,2,0,5,5,2018-12-14 02:24:24.341000+00:00
28397110,0,1,1,2,2,2019-01-12 02:48:50.085000+00:00
28397117,0,2,2,3,6,2019-01-11 10:07:50.805000+00:00
28397120,0,1,1,3,3,2018-12-14 07:00:08.583000+00:00
28397266,1,1,0,1,1,2018-12-06 20:01:50.258000+00:00
28397288,1,1,0,2,2,2019-01-12 13:58:07.178000+00:00
28397292,1,1,0,2,2,2018-12-08 10:59:13.608000+00:00
28397299,-2,1,3,5,5,2018-12-08 06:48:46.309000+00:00
28397304,-1,2,3,6,6,2019-02-26 10:27:28.030000+00:00
28397354,1,1,0,2,2,2019-01-12 15:18:38.634000+00:00
28397359,1,1,0,1,1,2018-12-08 22:29:58.933000+00:00
28397365,1,1,0,1,1,2018-12-10 17:17:48.589000+00:00
28397386,2,2,0,4,4,2019-01-12 15:45:05.185000+00:00
28397393,1,1,0,1,1,2018-12-06 21:33:18.827000+00:00
28397531,1,1,0,1,1,2018-12-09 12:26:46.040000+00:00
28397581,0,1,1,1,1,2018-12-10 14:41:26.972000+00:00
28397853,1,1,0,1,1,2018-12-07 20:19:55.833000+00:00
28398150,2,2,0,5,5,2018-12-10 20:55:02.269000+00:00
28398151,2,4,2,6,6,2019-01-15 14:11:41.892000+00:00
28398154,2,2,0,3,3,2018-12-14 12:42:03.058000+00:00
28398155,3,3,0,6,6,2018-12-13 18:39:37.555000+00:00
28398273,1,1,0,2,2,2019-01-16 01:59:06.402000+00:00
28398275,4,4,0,4,4,2018-12-14 07:26:35.825000+00:00
28398278,1,1,0,1,1,2018-12-08 20:17:57.774000+00:00
28398328,1,1,0,2,2,2018-12-12 20:52:51.527000+00:00
28398407,1,1,0,4,4,2018-12-11 13:58:17.974000+00:00
28398408,4,4,0,6,6,2018-12-14 04:18:43.100000+00:00
28398410,1,1,0,4,5,2018-12-13 07:43:53.446000+00:00
28398411,5,5,0,5,5,2018-12-14 12:55:06.254000+00:00
28398575,-3,1,4,6,8,2019-01-19 09:00:09.846000+00:00
28398577,0,1,1,4,4,2018-12-12 21:26:39.763000+00:00
28398578,-1,1,2,2,2,2018-12-10 20:54:19.882000+00:00
28398579,-2,1,3,4,7,2018-12-12 21:28:37.164000+00:00
28398587,1,1,0,1,1,2018-12-09 13:01:57.740000+00:00
28398662,1,1,0,2,2,2019-01-18 14:06:57.439000+00:00
28398698,1,1,0,1,1,2018-12-08 06:48:08.617000+00:00
28399054,1,1,0,1,1,2018-12-07 18:43:35.060000+00:00
28399242,0,1,1,3,3,2018-12-15 18:17:37.816000+00:00
28399296,1,1,0,3,3,2019-01-22 03:55:58.475000+00:00
28399298,1,1,0,1,1,2018-12-11 02:00:18.737000+00:00
28399302,3,3,0,3,3,2018-12-11 19:19:24.698000+00:00
28399410,0,1,1,5,5,2019-01-22 13:19:56.296000+00:00
28399413,0,1,1,3,3,2018-12-11 12:04:03.384000+00:00
28399582,-1,1,2,6,6,2019-01-23 23:43:59.031000+00:00
28399589,-1,1,2,3,3,2018-12-09 12:33:53.649000+00:00
28399791,1,1,0,1,1,2018-12-06 19:32:53.105000+00:00
28399863,1,1,0,1,1,2018-12-09 19:57:34.329000+00:00
28400001,-2,1,3,4,6,2018-12-14 08:32:57.156000+00:00
28400073,0,1,1,4,4,2019-01-25 13:06:48.870000+00:00
28400084,2,2,0,2,2,2018-12-08 15:04:52.156000+00:00
28400151,-1,1,2,4,7,2018-12-10 19:31:11.559000+00:00
28400156,1,2,1,6,7,2019-02-04 18:08:44.503000+00:00
28400392,0,1,1,1,1,2018-12-09 14:01:42.165000+00:00
28400517,1,1,0,3,3,2018-12-09 23:01:32.089000+00:00
28400601,1,1,0,2,2,2018-12-12 08:06:19.722000+00:00
28400607,1,1,0,3,3,2018-12-10 05:49:05.764000+00:00
28400609,1,1,0,3,3,2018-12-10 06:35:09.321000+00:00
28400638,2,2,0,5,5,2019-01-30 02:42:53.580000+00:00
28400639,2,2,0,4,4,2018-12-14 01:50:17.313000+00:00
28400731,2,2,0,9,11,2022-04-29 21:16:29.529000+00:00
28400732,4,4,0,4,4,2018-12-11 14:19:11.339000+00:00
28400734,1,1,0,4,4,2018-12-08 13:00:18.532000+00:00
28400736,3,3,0,3,5,2018-12-10 22:30:13.051000+00:00
28401080,1,1,0,3,3,2018-12-09 17:08:47.481000+00:00
28401095,1,1,0,4,4,2019-02-01 14:26:19.352000+00:00
28401148,-1,1,2,3,3,2018-12-13 07:21:36.900000+00:00
28401226,4,4,0,6,6,2019-02-02 12:08:04.789000+00:00
28401229,0,1,1,1,1,2018-12-06 19:01:44.561000+00:00
28401231,1,1,0,3,3,2018-12-09 20:14:52.172000+00:00
28401237,5,5,0,5,5,2018-12-14 01:52:52.441000+00:00
28401276,1,1,0,3,3,2019-02-02 10:56:40.072000+00:00
28401280,1,1,0,1,1,2018-12-08 12:42:18.717000+00:00
28401285,1,1,0,1,1,2018-12-06 21:39:33.413000+00:00
28401415,1,1,0,1,1,2018-12-11 19:47:10.269000+00:00
28401427,2,2,0,4,4,2019-02-02 18:21:45.452000+00:00
28401428,1,1,0,4,4,2018-12-10 21:03:09.703000+00:00
28401431,1,1,0,1,1,2018-12-08 08:33:21.327000+00:00
28401432,0,1,1,2,2,2018-12-06 21:31:08.547000+00:00
28401456,3,3,0,4,4,2019-02-03 00:46:38.017000+00:00
28401457,2,2,0,3,4,2018-12-12 19:30:00.292000+00:00
28401459,4,4,0,6,6,2018-12-08 21:16:12.060000+00:00
28401461,2,2,0,2,2,2018-12-07 08:08:08.452000+00:00
28401575,1,2,1,3,3,2019-02-03 14:13:51.534000+00:00
28401578,1,3,2,6,7,2018-12-13 12:22:50.495000+00:00
28401579,2,3,1,5,6,2018-12-14 23:37:11.329000+00:00
28401581,2,3,1,5,5,2018-12-14 20:50:47.537000+00:00
28402164,1,1,0,1,1,2018-12-08 03:11:21.449000+00:00
28402279,1,1,0,3,3,2019-02-05 19:23:51.160000+00:00
28402281,2,2,0,2,2,2018-12-10 12:03:35.871000+00:00
28402282,0,1,1,2,2,2018-12-12 18:22:21.756000+00:00
28402286,3,3,0,4,4,2018-12-13 05:12:22.881000+00:00
28402288,2,2,0,2,2,2018-12-13 00:49:08.384000+00:00
28402299,1,1,0,1,1,2018-12-06 20:21:14.326000+00:00
28402446,1,1,0,4,4,2019-02-07 12:52:19.547000+00:00
28402487,1,1,0,2,2,2018-12-07 08:34:38.809000+00:00
28402860,1,1,0,1,1,2018-12-11 14:17:27.037000+00:00
28402918,0,1,1,1,1,2018-12-11 16:53:36.594000+00:00
28402950,2,2,0,4,4,2019-02-08 15:36:39.443000+00:00
28402954,1,3,2,4,6,2019-01-12 11:21:55.157000+00:00
28402955,2,2,0,3,3,2018-12-10 23:13:36.599000+00:00
28402959,1,1,0,2,2,2018-12-11 12:10:13.362000+00:00
28403077,1,1,0,1,1,2018-12-13 04:58:50.920000+00:00
