MAIN_ID,TIC_ID,Is_EB_SIMBAD,OTYPES,V__vartyp,angDist,Match_Score
LP  857-62,23369,-,PM*|*|IR,,,5
HD 129195,52357,-,V*|*|IR,,,3
LP  858-21,72331,-,PM*|*|IR,,,5
*  55 Hya,93155,-,*|IR,,,5
TYC 6751-756-1,111027,-,*|IR,,,5
HD 130693,120016,T,EB*|V*|*|IR|X,EC,,2
HD  30984,615133,F,Ro*|**|V*|*|IR|X,rot,,5
ASAS J045211-2511.7,627436,T,EB*|EB*|EB*|V*|**|*|IR,Ecl,,5
ASAS J045338-2906.6,671564,T,EB*|EB*|EB*|V*|*|EB?|IR,EW:,,5
HD  31359,672624,-,*|IR|X,,,3
ATO J074.1485-27.6801,710783,F,Pu*|*|IR,PULS,0.001285,5
CPD-30   740,737546,T,EB*|V*|*|IR,EA,,5
HD  65610,759171,-,*|IR,,,5
ATO J135.3080-02.3895,862763,-,V*|*|IR,LPV:,,5
TYC 6575-1727-1,867234,-,*|IR,,,5
UCAC4 376-051253,889317,-,*|IR,,0.076409,2
V* V426 Hya,927554,T,EB*|V*|*|IR,E,,5
HD  73927,934557,-,*|IR,,,3
V* RV Cet,1029392,F,RR*|RR*|V*|*|IR,RR,,5
*  24 LMi,1042868,-,PM*|*|IR|UV,,,5
ASAS J021742-0816.7,1045298,T,EB*|V*|*|IR,E,,3
UCAC4 365-049778,1103432,-,*|IR,,,5
HD  14923,1112513,-,*|IR,,,5
BD-07   436,1129033,-,V*|**|*|IR,,,2
HD  15424,1129452,T,EB*|Ro*|V*|*|IR|X,rot,,5
TYC 6885-1397-1,1159914,-,PM*|*|IR,,,5
TYC 6579-659-1,1202347,-,*|IR,,,5
CD-30  1997,1220444,-,*|IR,,,5
Gaia EDR3 4867211047550361856,1223040,-,*,,0.002081,3
HD  78733,1230647,-,**|*|IR,,,3
PM J09092-1236,1232360,-,PM*|SB*|PM*|*|*|IR,,,5
UPM J0448-3539,1250913,-,PM*|*|IR,,,1
TYC 7053-1822-1,1449640,-,*|IR,,,5
1RXS J050050.0-321248,1450518,T,EB*|*|IR|X,EA,0.022482,5
TYC 8324-2604-1,1461316,-,*|IR,,,5
TYC 6572-2008-2,1505227,-,*,,0.004826,5
NGTS-6,1528696,-,*|IR,,,5
UCAC4 443-049026,1536984,-,PM*|*|*|IR,,1e-06,5
NSVS  15842127,1538794,T,EB*|EB*|*|EB?|IR|Y*?,EW:,,5
BD-14  3534,1630438,-,V*|*|IR,,,5
BD-15  3494,1630690,-,SB*|PM*|*|IR,,,5
TYC 4872-823-1,1649643,-,*|IR,,,5
* gam Pyx,1738861,-,PM*|*|IR|UV,,,5
HD  76088,1971918,-,*|IR,,,5
EVR-CB-004,1973623,-,V*|blu|HS*|**|**|HS*|*|IR,SIN,,5
HD  34113,2004993,-,*|IR,,,5
HD  76196,2020964,-,*|IR,,,5
*  17 Aur,2236015,T,EB*|SB*|V*|*|IR|UV,E,,5
TYC 6597-1946-1,2353789,-,*|IR,,,5
TYC 6887-1750-1,2372579,-,*|IR,,,5
TYC 2394-2013-1,2595273,-,PM*|*|IR,,,3
UCAC4 363-201683,2758565,-,*|IR,,,5
TYC 6404-55-1,2760219,-,*|IR,,,5
HD  34923,2776520,-,*|IR,,,5
V* QZ Aur,3034524,T,EB*|No*|V*|*|IR,,,3
TYC 7164-702-1,3060481,-,*|IR,,,3
HD  35921,3311888,T,**|EB*|**|SB*|V*|Em*|*|IR|UV,E,,1
HD 146907,3539074,-,*|IR,,,5
HD   3834,3815360,-,PM*|*|IR,,,5
BD-07    99,3816260,-,*|IR,,,5
UCAC2  29574204,3836983,-,*|IR,,,5
PM J00473-0626,3921749,-,PM*|PM*|*|IR,,,5
CD-53  6649,4030617,-,*|IR,,,3
HD  60987A,4164713,F,dS*|V*|**|*|IR|UV|X,E,,5
Gaia EDR3 3214129571848636288,4205427,-,*|Y*?,,0.001822,3
HD 290380,4206238,-,V*|*|IR,,,5
HD  35317,4207747,-,**|*|IR|UV|X,,,3
Gaia EDR3 3214130980598392960,4250265,-,*|Y*?,,0.003304,3
* eta Ori,4254645,T,bC*|EB*|**|Em*|V*|*|IR|UV|X,,,3
HD  35502,4289780,-,SB*|**|*|*|IR|UV,,,5
TYC 2454-358-1,4299830,-,*|IR,,,5
TYC 4761-163-1,4351705,-,*|IR,,,5
HATS-45,4616072,-,*|IR,,,5
TYC 5282-1632-1,4629065,-,*|IR,,,5
HD  15914,4646803,-,*|IR,,,5
TYC 5973-2165-1,4713510,-,*|IR,,,5
LP  650-323,4723156,-,PM*|PM*|PM*|LM*|*|IR,,,5
BD+29  2264,4735737,T,V*|EB*|*|*|IR,E :,,5
GSC 05288-01027,4742129,T,SB*|PM*|SB*|EB*|*|IR|X,,,5
Wolf  327,4918918,-,PM*|PM*|PM*|*|IR,,,1
2MASS J09275195-3910524,4970499,-,CV*|*|IR,,,5
AG+35  977,4971740,-,PM*|V*|*|IR,,,5
Gaia EDR3 3109216818032728448,4999380,-,blu|*,,0.018655,0
TYC 4815-3624-1,5001059,-,*|IR,,,1
ATO J109.9191-21.8893,5051080,T,blu|*|EB?|IR,EW:,,5
TYC 7166-257-1,5092088,-,*|IR,,,3
V* Z Her,5205367,-,PM*|SB*|V*|RS*|*|IR|UV|X,E,,5
V* V753 Mon,5283033,T,EB*|SB*|V*|*|IR,E,,5
TYC 6040-1025-1,5360702,-,*|IR,,,3
TYC 6040-575-1,5364106,-,*|IR,,,5
HD  80032,5364915,-,SB*|**|*|IR|UV,,,1
TYC 7696-855-1,5390942,-,*|IR,,,5
BD-20  3060,5480687,-,*|IR,,,5
HD  88564,5506314,-,*|IR,,,5
BD-22  3030,5531391,-,PM*|**|*|IR,,,5
HD  82562,5537671,-,*|IR,,,3
HD  82694,5546608,-,**|*|IR,,,5
LP  821-57,5632933,-,PM*|*|IR,,,5
V* HK Aqr,5656273,F,PM*|BY*|PM*|Er*|Er*|PM*|V*|*|IR|UV|UV|X|X,rot,,5
HD  82827,5703872,-,PM*|*|IR,,,5
ATO J179.1427-18.0648,5713097,-,V*|*|IR,SIN,,5
BD-15  6377,5795305,T,EB*|EB*|V*|**|V*|*|IR,SIN,0.003103,5
UCAC4 332-065154,5868998,-,**|*|IR,,,4
UCAC4 351-065317,5870394,-,PM*|*|IR,,0.011214,5
UPM J0936-3740,5906850,-,PM*|*|IR,,,1
HD  59021,5917423,F,a2*|*|IR,ACV,,5
HD 112074,5969274,-,**|*|IR|UV,,,5
BD-20  3738,5981829,-,*|IR,,,5
