MAIN_ID,TIC_ID,OTYPES,V__vartyp,V__LoVmax,V__Vmax,V__R_Vmax,V__magtyp,V__UpVmin,V__Vmin,V__R_Vmin,V__UpPeriod,V__period,V__R_period,V__epoch,V__R_epoch,V__D_rt,V__R_D_rt,V__bibcode,RA,DEC,PLX_VALUE,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_R,FLUX_G,FLUX_J,IDS,angDist,Match_Method,Match_Score,Match_Mag,Match_PM,Match_Plx,Match_Aliases,Match_Mag_Band,Match_Mag_Diff,Match_PMRA_DiffPct,Match_PMDEC_DiffPct,Match_Plx_DiffPct,Match_Aliases_NumMatch
,49779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tic,-1,-,-,-,F,,,,,,0
CD-23 11895,91961,*|IR,,,,,,,,,,,,,,,,,221.74094120051,-23.92235331504,1.2981,-5.23,-20.077,11.67,10.51,,10.181705,8.468,CD-23 11895|CPD-23  5980|GSC 06746-01249|2MASS J14465783-2355203|PPM 731785|TIC 91959|TYC 6746-1249-1|Gaia DR2 6230259257267227008|Gaia EDR3 6230259257269319296|Gaia DR1 6230259252972365824,143.029018,co,-3,F,-,-,F,Vmag,4.120000000000001,,,,0
,800254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tic,-1,-,-,-,F,,,,,,0
ATO J123.9738-15.9343,878056,V*|*,SIN,,14.975631,,o,,15.038134,,,,,,,,,2018AJ....156..241H,123.97386,-15.93439,,,,,,,,,ATO J123.9738-15.9343|Gaia EDR3 5721382289271424128,0.928138,co,-1,-,-,-,F,,,,,,0
UCAC4 383-050352,927257,*|*|IR,,,,,,,,,,,,,,,,,127.2548428603862,-13.5325482763669,3.1563,9.749,-11.635,14.372,13.508,13.296,13.2779,11.989,GALAH 150401003601285|2MASS J08290116-1331572|UCAC4 383-050352|WISEA J082901.16-133157.2|WISE J082901.17-133157.2|Gaia DR2 5723679375218914816,53.419448,co,-1,T,F,F,F,Vmag,0.7809999999999988,430.5406844080681,3793.955691580893,115.76964882657352,0
TYC 6027-1854-1,1190662,*|IR,,,,,,,,,,,,,,,,,136.0722739457,-16.46632559687,0.5594,-5.445,-1.32,13.182,12.005,,11.690169,10.015,2MASS J09041734-1627587|RAVE J090417.3-162759|TIC 1192601|TYC 6027-1854-1|Gaia DR2 5729640991686990208|Gaia EDR3 5729640991686990208,148.343949,co,-5,F,F,F,F,Vmag,3.318,77.17411809092624,97.70380472598735,90.31298378801468,0
ATO J131.8523-29.7730,1414238,V*|*,SIN,,12.205887,,o,,12.377605,,,,,,,,,2018AJ....156..241H,131.85238,-29.77301,,,,,,,,,ATO J131.8523-29.7730|Gaia EDR3 5642093585219520256,0.211698,co,-1,-,-,-,F,,,,,,0
Gaia EDR3 5652036567645729152,1497180,*,,,,,,,,,,,,,,,,,131.93037693188,-27.02262286841,0.6162,-2.206,1.669,,,,20.598724,,Gaia DR2 5652036567645729152|Gaia EDR3 5652036567645729152,165.559324,co,-5,F,F,F,F,GAIAmag,5.405824000000001,97.84492443558706,97.68671559353278,96.8575654036412,0
,2013258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tic,-1,-,-,-,F,,,,,,0
UCAC4 304-255831,2527981,PM*|*|IR,,,,,,,,,,,,,,,,,289.0980513099308,-29.3366467467536,3.2407,-25.645,-55.497,,,16.007,15.5685,13.029,EPIC 213462890|2MASS J19162352-2920120|UCAC4 304-255831|Gaia DR2 6759433072484111872,0.140462,co,-2,F,F,-,T,Tmag,1.551000000000002,25.64919157275845,15.378378378378374,,2
