SIMBAD_Type,Is_EB,Description,Notes
Al*,TRUE,"EB, Algol",
EB*,TRUE,Eclipsing binary,
EB?,TRUE,Eclipsing binary candidate,
bL*,TRUE,"EB, beta Lyrae",
WU*,TRUE,"EB, W UMa",
*,N/A,Star,SIMBAD deosn't have much information
PM*,N/A,High Proper Motion,High Proper Motion has no bearing if the star is an eclipsing binary
SB*,N/A,Spectroscopic binary,
**,N/A,double or multiple stars,
X,N/A,X-ray source,probably not actual target
Ro*,FALSE,Rotationally variable Star,
RR*,FALSE,RR Lyrae variables,
a2*,FALSE,α2 Canum Venaticorum variables,
HS*,N/A,Hot subdwarf,orhthogonal
RS*,N/A,RS Canum Venaticorum variable,"close binary, some are eclipsing binaries"
Pl,FALSE,Extra-solar Confirmed Planet,
G,N/A,Galaxy,probably not the actual target
dS*,FALSE,Variable Star of delta Sct type,
V*,N/A,Variable Star ,
LP*,N/A,Long-period variable star,
Be*,N/A,Be star,"likely not to be eclipsing, but its definition (spectral type B) is orthogonal to eb"
WD*,N/A,White Dwarf ,orhthogonal
BY*,FALSE,Variable of BY Dra type,
bC*,FALSE,Variable Star of beta Cep type,
Pl?,FALSE,Extra-solar Planet Candidate ,
IR,N/A,Infrared Source,
El*,FALSE,Ellipsoidal variable Star,
Y*O,N/A,Young Stellar Object,likely not to be eclipsing
TT*,N/A,T Tau-type Star,
s*r,N/A,Red supergiant star,likely not to be eclipsing
Pu*,FALSE,Pulsating variable Star,
Pe*,N/A,Peculiar Star ,with distinctly unusual metal abundances
gD*,FALSE,Variable Star of gamma Dor type,
Em*,N/A,Emission-line Star, spectrum exhibits emission lines.
DN*,N/A,Dwarf Nova,probably not the actual target
CV*,N/A,Cataclysmic Variable Star,
BiC,N/A,Brightest galaxy in a Cluster (BCG),probably not the actual target
Y*?,N/A,Young Stellar Object Candidate,
V*?,N/A,Star suspected of Variability ,
s*b,N/A,Blue supergiant star,
RG*,N/A,Red Giant Branch star,
Rad,N/A,Radio-source,probably not the actual target
QSO,N/A,Quasar,probably not the actual target
pr*,N/A,Pre-main sequence Star,likely not to be eclipsing
Or*,FALSE,Variable Star of Orion Type, irregular and eruptive variations in its luminosity and is typically associated with diffuse nebulae. It is thought that these are young stars
No*,N/A,Nova,probably not the actual target
LM*,N/A,Low-mass star,
GiC,N/A,Galaxy in Cluster of Galaxies,probably not the actual target
Er*,FALSE,Eruptive variable Star,
