TIC,m_TIC,BJD0,e_BJD0,Per,e_Per,Morph,Wp-pf,Dp-pf,Phip-pf,Ws-pf,Ds-pf,Phis-pf,Wp-2g,Dp-2g,Phip-2g,Ws-2g,Ds-2g,Phis-2g,Sectors,UpDate,tesseb_source
91961,1,1602.8227,0.000236619,5.2826248,0.00012125355,0.175,0.017,0.22,1.0,0.017,0.085,0.5,0.02428,0.198,2.102e-05,0.026,0.122,0.5002,11,2021-09-16T17:36:42,J/ApJS/258/16/tess-ebs
120016,1,1600.078662,0.04843512,0.3263708,2.9383113e-06,0.849,0.168,0.058,1.003,0.178,0.044,0.489,0.2197,0.142,0.4973,,,,11,2021-09-16T17:36:39,J/ApJS/258/16/tess-ebs
627436,1,1438.295848,0.0002658861,0.5789058,8.4672994e-07,0.817,0.13,0.119,0.9974,,,,,,,,,,"5,32",2021-09-16T17:40:35,J/ApJS/258/16/tess-ebs
737546,1,1438.135292,0.0001628426,3.0677452,9.8834328e-05,0.568,0.114,0.291,0.9999,0.107,0.036,0.5,0.1827,0.335,0.9999,0.15,0.069,0.5001,5,2021-09-16T17:40:35,J/ApJS/258/16/tess-ebs
1045298,1,1411.144468,0.001282512,1.4634139,7.6419268e-06,0.641,0.148,0.198,0.9972,0.149,0.193,0.497,0.2415,0.253,0.9981,0.238,0.249,0.4969,4,2021-09-16T17:40:28,J/ApJS/258/16/tess-ebs
1103432,1,1518.136475,0.03344959,3.7260484,0.0022954886,0.319,0.036,0.008,0.9971,,,,0.06157,0.019,0.9959,0.097,0.005,0.529,8,2021-09-16T17:40:49,J/ApJS/258/16/tess-ebs
1129033,1,1410.945897,0.03887532,1.3600996,7.0822175e-05,0.497,0.06,0.015,0.9603,,,,0.1106,0.022,0.989,,,,"4,31",2021-09-16T17:41:09,J/ApJS/258/16/tess-ebs
1129452,1,1411.497547,0.04503368,0.7140171,7.9756875e-06,0.988,0.27,0.033,0.9883,0.277,0.027,0.482,,,,,,,4,2021-09-16T17:41:00,J/ApJS/258/16/tess-ebs
1190662,1,1517.371274,0.1918392,0.8879691,0.00020110941,0.281,,,0.5555,,,0.529,0.01028,0.031,0.5555,0.074,0.014,0.739,"8,35",2021-09-16T17:39:46,J/ApJS/258/16/tess-ebs
1202347,1,1519.656909,0.0008903493,4.1505025,0.00026343046,0.354,0.035,0.046,0.9996,0.036,0.034,0.5,0.05326,0.049,5.521e-05,0.05,0.043,0.5001,8,2021-09-16T17:39:49,J/ApJS/258/16/tess-ebs
1220444,1,1440.634408,0.0001138322,7.1620656,0.00012987684,0.173,0.02,0.047,0.9999,0.253,0.004,0.052,0.02841,0.046,0.9999,,,,5,2021-09-16T17:40:04,J/ApJS/258/16/tess-ebs
1230647,1,1517.562069,0.0006802927,1.1897403,5.9100127e-05,0.586,0.046,0.016,0.9997,,,,0.07624,0.026,0.0001316,,,,8,2021-09-16T17:40:49,J/ApJS/258/16/tess-ebs
1449640,1,1440.419896,0.009819433,3.5017948,7.433018e-06,0.396,0.041,0.006,0.9976,,,,0.07708,0.019,0.001282,,,,"5,32",2021-09-16T17:40:35,J/ApJS/258/16/tess-ebs
1450518,1,1438.085617,0.001028508,0.3337474,4.4925933e-06,0.65,0.143,0.242,0.9993,0.152,0.222,0.497,0.3257,0.335,0.002433,0.25,0.333,0.4971,5,2021-09-16T17:40:36,J/ApJS/258/16/tess-ebs
1630438,1,1571.250526,8.158023e-05,0.3905231,1.0653831e-06,0.989,0.249,0.028,0.9995,0.218,0.026,0.499,,,,,,,10,2021-09-16T17:36:34,J/ApJS/258/16/tess-ebs
1630690,1,1571.173452,6.079732e-05,0.4136605,1.2487834e-06,0.965,0.254,0.061,0.9993,0.228,0.058,0.5,,,,,,,10,2021-09-16T17:36:27,J/ApJS/258/16/tess-ebs
2020964,1,1519.302412,1.130798e-05,2.9423359,5.6795304e-06,0.559,,,1.011,,,0.929,0.1978,0.338,0.9998,,,,8,2021-09-16T17:39:47,J/ApJS/258/16/tess-ebs
2236015,1,1819.171258,6.238681e-06,4.1346604,1.0390411e-05,0.373,0.046,0.394,1.0,0.048,0.367,0.5,0.06557,0.44,1.0,0.068,0.407,0.5,19,2021-09-16T17:38:34,J/ApJS/258/16/tess-ebs
2353789,1,1518.763729,0.0004529748,1.8717,6.1951831e-05,0.425,0.05,0.027,0.9999,,,,0.07242,0.031,8.06e-05,,,,8,2021-09-16T17:39:48,J/ApJS/258/16/tess-ebs
2372579,1,1664.784822,0.0005659959,9.9210976,0.00018441877,0.082,0.013,0.152,1.0,0.143,0.005,0.317,0.01795,0.167,0.9999,,,,13,2021-09-16T17:36:59,J/ApJS/258/16/tess-ebs
2595273,1,1817.123506,0.02344372,2.1129222,0.0085716638,0.421,0.062,0.004,0.9939,,,,,,,,,,19,2021-09-16T17:38:31,J/ApJS/258/16/tess-ebs
2758565,1,1359.372388,0.004343228,3.7685478,0.0098131281,0.658,0.301,0.014,0.9986,,,,0.05706,0.025,0.2952,,,,29,2021-09-16T17:41:11,J/ApJS/258/16/tess-ebs
3034524,1,1816.367296,0.0007693107,0.3574713,1.2874747e-05,0.556,0.115,3.624,1.005,,,,0.2024,5.531,0.001823,,,,19,2021-09-16T17:38:33,J/ApJS/258/16/tess-ebs
