tic_id,best_subject_id,best_subject_sector,eb_score,num_votes_eb,num_votes_transit,num_users,num_comments,updated_at,best_subject_img_id,num_subjects,sectors,subject_ids
23369,64603192,38,1,1,0,1,1,2021-07-27 15:50:23.097000+00:00,f15b962d-d3c9-44a7-8f5c-c07dddb1b9d5,1,38,64603192
49779,64601285,38,1,1,0,2,2,2021-07-22 22:13:28.931000+00:00,d9516391-ee04-4ff9-b68b-156bd7687668,1,38,64601285
52357,64613852,38,3,3,0,4,4,2021-07-26 06:34:44.882000+00:00,771ba55c-b16b-4146-a035-a2f0c3dd898a,2,"38,11","64613852,34495736"
72331,64610692,38,3,3,0,6,6,2021-08-03 10:21:55.190000+00:00,3e14a7c3-8187-4991-8dfb-8ce09774c698,1,38,64610692
91961,34552742,11,2,2,0,4,4,2020-04-08 11:52:37.269000+00:00,9cc896de-8bb0-48aa-b7b3-99ac129098f8,1,11,34552742
93155,64603128,38,1,1,0,1,1,2021-07-23 10:17:21.526000+00:00,6f70ef8b-6be9-400f-b304-0a6593976eec,1,38,64603128
111027,34472771,11,-2,1,3,3,3,2020-04-08 20:21:05.590000+00:00,b6dc86dc-3961-49b5-8a1d-d2780a969e8c,1,11,34472771
120016,64609683,38,3,3,0,4,4,2021-07-26 21:59:42.528000+00:00,abd207e7-b130-43c3-a56a-2f559a0f2c32,2,"38,11","64609683,34479911"
615133,56366876,32,1,1,0,2,2,2021-02-02 10:49:15.103000+00:00,6aaa4916-76c0-43fc-b4cf-96ebfcd85742,1,32,56366876
627436,30952109,5,3,3,0,3,3,2019-03-14 04:23:39.924000+00:00,435085b4-3822-4786-913f-d79ac94d97ab,4,"5,5,5,5","30952109,30952105,30952113,30952117"
671564,30970263,5,2,2,0,3,3,2019-03-11 17:47:27.618000+00:00,7ef36b37-7fe2-4b70-baf1-e92b56bd17ab,2,"5,5","30970263,30970260"
672624,56370156,32,1,1,0,1,1,2021-02-07 12:35:43.295000+00:00,70931782-aa89-480d-80b4-9cad5edd8d5d,1,32,56370156
710783,30948887,5,1,1,0,4,4,2020-02-08 00:29:16.967000+00:00,22e49c3e-c09c-4114-95f4-10ecdac599ba,1,5,30948887
737546,30959821,5,3,3,0,4,4,2019-03-14 02:11:36.773000+00:00,ef6a887e-10d9-473a-925c-03f01acbdc28,3,"5,5,5","30959821,30959826,30959831"
759171,58407112,34,7,7,0,7,7,2021-03-19 21:01:15.975000+00:00,b95cfcf5-9167-4b20-baec-aa263657fde1,1,34,58407112
800254,32638303,8,0,1,1,4,4,2019-05-08 08:40:33.953000+00:00,f0ec8a82-1471-41d5-83c1-236f7d302a4e,1,8,32638303
862763,58267582,34,5,5,0,8,8,2021-03-29 14:34:48.528000+00:00,17f83674-588c-4737-a762-4460804ab8d8,1,34,58267582
867234,58277551,34,-1,1,2,4,4,2021-03-16 13:04:54.857000+00:00,8838e59f-4f1d-496f-beb4-0584334bdd97,1,34,58277551
878056,32014306,7,0,1,1,1,1,2019-04-06 06:15:41.555000+00:00,6c2549bf-ddac-4172-a4c5-25e4c19ddd60,1,7,32014306
889317,58289495,34,5,5,0,5,5,2021-03-18 23:03:11.301000+00:00,3e4b37b6-5e4f-4fd1-9e76-54dd8e76c38d,1,34,58289495
927257,58384662,34,3,3,0,3,3,2021-03-17 13:43:12.183000+00:00,6c6d54a4-2c62-4210-a970-c73a4bd6771d,1,34,58384662
927554,58296545,34,1,1,0,3,3,2021-03-29 21:58:46.255000+00:00,44c0e84b-46d4-4342-9e74-06b42ed06048,1,34,58296545
934557,32621293,8,1,1,0,1,1,2019-05-01 15:29:17.290000+00:00,c2f4c1e4-0f92-4766-aa53-253bf7814778,1,8,32621293
1029392,30179344,4,1,1,0,2,2,2019-02-11 18:32:04.129000+00:00,1176838c-113c-4349-969e-298e290bf506,2,"4,4","30179344,30179346"
1042868,41016259,21,-3,1,4,7,7,2020-04-09 17:03:50.841000+00:00,72995d36-14e2-4683-a0f6-5795b5423872,1,21,41016259
1045298,30253322,4,3,3,0,3,3,2019-02-16 13:16:06.339000+00:00,60cae498-7bb7-470b-813d-0e4626b88bff,3,"4,4,4","30253322,30253324,30253328"
