OID,n_OID,V,Name,TIC_ID,Is_EB,Type,Period,angDist,Match_Score
58594,B,0,NSV 20159,52357,-,VAR,0.3778,0.06348,1
58618,B,0,NSV 20183,93155,F,ACV,4.4136,0.70089,1
98995,B,0,ASAS J145019-2425.6,120016,T,EW,0.326383,7.154747,1
280964,B,0,ASAS J045103-2731.2,615133,F,ROT,5.876,0.162138,1
76623,B,0,ASAS J045211-2511.7,627436,T,EC,0.57889,5.843543,1
76658,B,0,TX Cae,671564,T,EW,0.385568,0.047075,1
76721,B,0,ASAS J045636-2740.8,710783,F,DSCT,0.078465,0.085479,1
76767,B,0,ASAS J045804-2956.0,737546,T,EA,3.06772,0.055934,1
88484,B,0,V0636 Hya,862763,T,EA,2.031716,0.077437,1
42719,B,0,V0426 Hya,927554,T,EA,7.3089,0.018799,1
9084,B,0,RV Cet,1029392,F,RRAB/BL,0.62341,0.082898,1
74626,B,0,ASAS J021742-0816.7,1045298,T,EA,1.46344,0.087827,1
409050,B,0,WASP-77 A,1129033,T,EP,1.3600309,0.053404,1
250097,B,0,HD 15424,1129452,F,ROT,0.357,0.069403,1
1498721,,0,TIC 1230647,1230647,T,EA,1.19,0.048236,1
76834,B,0,ASAS J050049-3212.7,1450518,T,EA,0.333747,0.047697,1
1547400,,0,NGTS-6,1528696,T,EP,0.882059,0.013433,1
228959,B,0,NSVS 15865206,1538794,T,EA,0.411427,0.010563,1
250147,B,0,BD-14 3534,1630438,-,VAR,,0.136314,1
95121,B,0,ASAS J123246-1626.3,1630690,T,EC|DSCT|DSCTr|ESD,0.413664,0.056709,1
1546170,,0,1SWASP J051630.19+330946.1,2004993,F,DSCT,0.017527,0.0696,1
88199,B,0,ASAS J085350-2505.1,2020964,T,ED,5.884,0.039251,1
3833,B,0,AR Aur,2236015,T,EA/DM,4.134651,0.055446,1
4035,B,0,LY Aur,3311888,T,EB/SD,4.0024932,0.223648,1
73698,B,0,ASAS J004032-0628.9,3816260,T,EA,2.62571,0.10233,1
14639,B,0,V0345 Gem,4164713,T,EW,0.2747736,0.051578,1
371037,B,0,CSS_J052244.8-010231,4200337,F,BY,8.1641168,0.022378,1
477941,B,0,PDS 110,4206238,T,E+TTS,808.6,0.000344,1
24714,B,0,eta Ori,4254645,T,EA+BCEP:,7.989268,0.03514,1
1546401,,0,HATS-45,4616072,T,EP,4.1876244,0.010593,1
74754,B,0,ASAS J023130-0903.5,4629065,T,ED,5.896722,0.105554,1
5271,B,0,CR CMa,4713510,T,EB/SD,0.624141545,114.541725,1
2213895,,0,MNIC V147,4723156,T,EA+UV,9.49047,0.099284,1
44113,B,1,NSV 5489,4735737,T,E:,,0.014004,1
74832,B,0,ASAS J023909-1027.8,4742129,T,EA,1.03598,0.081685,1
730286,,0,ASASSN-V J071829.00-201900.0,4783276,T,EA,2.1689,0.010769,1
179383,B,0,[PK2008] J092751.93-391052.3,4970499,-,CV,0.1721,0.40516,1
