TIC_ID,OID,n_OID,Name,V,Type,l_max,max,u_max,n_max,f_min,l_min,min,u_min,n_min,l_Period,Period,u_Period,RAJ2000,DEJ2000,angDist,Match_Score,Match_Mag_Band,Match_Mag_Diff
52357,58594,B,NSV 20159,0,VAR,,7.0,,V,,,7.03,,V,,0.3778,,220.48821,-28.06578,0.06348,1,V,0.009999999999999787
93155,58618,B,NSV 20183,0,ACV,,5.58,,Hp,,,5.61,,Hp,,4.4136,,221.84417,-25.62417,0.70089,1,V,0.03000000000000025
120016,98995,B,ASAS J145019-2425.6,0,EW,,8.17,,V,(,,0.23,,V,,0.326383,,222.57917,-24.42667,7.154747,1,V,0.0389999999999997
615133,280964,B,ASAS J045103-2731.2,0,ROT,,8.572,,V,(,,0.037,,V,,5.876,,72.7659,-27.5197,0.162138,1,V,0.008000000000000895
627436,76623,B,ASAS J045211-2511.7,0,EC,,11.41,,V,(,,0.31,,V,,0.57889,,73.04583,-25.195,5.843543,1,V,0.45700000000000074
671564,76658,B,TX Cae,0,EW,,12.03,,V,,,12.49,,V,,0.385568,,73.40883,-29.11019,0.047075,1,V,0.23499999999999943
710783,76721,B,ASAS J045636-2740.8,0,DSCT,,12.62,,V,(,,0.57,,V,,0.078465,,74.14846,-27.68017,0.085479,1,V,0.4320000000000004
737546,76767,B,ASAS J045804-2956.0,0,EA,,10.84,,V,,,11.32,,V,,3.06772,,74.51504,-29.933,0.055934,1,V,0.15600000000000058
862763,88484,B,V0636 Hya,0,EA,,11.83,,V,,,12.55,,V,,2.031716,,135.30804,-2.38944,0.077437,1,V,0.031000000000000583
927554,42719,B,V0426 Hya,0,EA,,11.55,,V,,,12.23,,V,,7.3089,,127.14681,-13.85388,0.018799,1,V,0.14100000000000001
1029392,9084,B,RV Cet,0,RRAB/BL,,10.35,,V,,,11.22,,V,,0.62341,,33.81208,-10.80019,0.082898,1,V,0.6100000000000012
1045298,74626,B,ASAS J021742-0816.7,0,EA,,11.16,,V,(,,0.33,,V,,1.46344,,34.42671,-8.27756,0.087827,1,V,0.10699999999999932
1129033,409050,B,WASP-77 A,0,EP,,10.12,,V,(,,0.017,,V,,1.3600309,,37.1551,-7.06066,0.053404,1,V,0.17400000000000126
1129452,250097,B,HD 15424,0,ROT,,8.893,,V,(,,0.063,,V,,0.357,,37.16529,-9.59594,0.069403,1,V,0.011000000000001009
1230647,1498721,,TIC 1230647,0,EA,,9.5,,V,(,,0.032,,TESS,,1.19,,137.34608,-15.58903,0.048236,1,V,0.019000000000000128
1450518,76834,B,ASAS J050049-3212.7,0,EA,,12.38,,V,,,12.97,,V,,0.333747,,75.20408,-32.21103,0.047697,1,V,0.10299999999999976
1528696,1547400,,NGTS-6,0,EP,,14.24,,V,(,,0.033,,V,,0.882059,,75.79543,-30.39937,0.013433,1,V,0.0030000000000001137
1538794,228959,B,NSVS 15865206,0,EA,,13.25,,CV,(,,0.47,,CV,,0.411427,,166.79434,-14.63798,0.010563,1,V,0.49900000000000055
1630438,250147,B,BD-14 3534,0,VAR,,10.39,,V,,,,,,,,,188.13533,-15.52289,0.136314,1,V,0.05400000000000027
1630690,95121,B,ASAS J123246-1626.3,0,EC|DSCT|DSCTr|ESD,,10.47,,V,(,,0.14,,V,,0.413664,,188.19246,-16.43886,0.056709,1,V,0.03200000000000003
2004993,1546170,,1SWASP J051630.19+330946.1,0,DSCT,,9.25,,V,(,,0.02,,TESS,,0.017527,,79.12579,33.16283,0.0696,1,V,0.006000000000000227
2020964,88199,B,ASAS J085350-2505.1,0,ED,,8.84,,V,(,,0.38,,V,,5.884,,133.45862,-25.08425,0.039251,1,V,0.125
2236015,3833,B,AR Aur,0,EA/DM,,6.15,,V,,,6.82,,V,,4.134651,,79.57875,33.76736,0.055446,1,V,0.002680000000000682
3311888,4035,B,LY Aur,0,EB/SD,,6.66,,V,,,7.35,,V,,4.0024932,,82.42771,35.37503,0.223648,1,V,0.12654999999999994
3816260,73698,B,ASAS J004032-0628.9,0,EA,,10.59,,V,(,,0.13,,V,,2.62571,,10.13504,-6.48089,0.10233,1,V,0.1880000000000006
4164713,14639,B,V0345 Gem,0,EW,,7.82,,Hp,,,7.88,,Hp,,0.2747736,,114.62592,33.71153,0.051578,1,V,0.040000000000000036
