TIC_ID,OID,n_OID,Name,V,Type,l_max,max,u_max,n_max,f_min,l_min,min,u_min,n_min,l_Period,Period,u_Period,RAJ2000,DEJ2000,angDist,Match_Score,Match_Mag_Band,Match_Mag_Diff
2013258,1641617,,ZTF J051704.06+340055.1,0,BY,,17.591,,r,(,,0.181,,r,,0.3301847,,79.26692,34.01533,87.677776,-1,GAIA,3.6202000000000005
2527981,668953,B,PS1-3PI J191631.64-292056.3,0,RRAB,,18.07,,r,(,,0.61,,r,,0.628455,,289.13184,-29.34898,114.984571,-1,GAIA,2.5015
3034524,4096,B,QZ Aur,0,NA+E,,6.0,,p,,,18.95,,V,,0.3574961,,82.142,33.30606,0.048234,-1,GAIA,10.8873
4030617,449737,B,GDS_J1624483-531803,0,VAR,,14.47,,r,(,,1.29,,r,,,,246.20152,-53.30106,35.465369,-1,GAIA,4.4116
4999380,1694827,,ZTF J070941.22-015516.5,0,EW,,16.937,,r,(,,0.272,,r,,0.2889092,,107.42178,-1.92127,113.872659,-1,GAIA,2.130300000000002
5092088,488227,B,SSS_J092832.6-370536,0,EA,,14.49,,CV,(,,0.48,,CV,,0.992656,,142.13633,-37.09328,51.865089,-1,V,1.9100000000000001
5906850,89765,B,ASAS J093620-3739.0,0,MISC,,11.46,,V,(,,0.25,,V,,64.4,,144.08217,-37.64864,100.569449,-1,V,1.7649999999999988
7203983,26306,B,BQ Phe,0,EW,,10.47,,V,,,10.59,,V,,0.436968,,6.35058,-46.92419,7.095333,-1,V,3.8843999999999994
8423012,403998,B,SSS_J154216.5-331609,0,RRAB,,17.67,,CV,(,,0.88,,CV,,0.55303,,235.5689,-33.26904,37.69726,-1,V,6.368000000000002
8769657,285119,B,HAT-225-0003429,0,EA,,14.06,,CV,(,,0.24,,CV,,0.42647,,140.36812,33.43295,0.046755,-1,V,1.1150000000000002
8895896,1621368,,ZTF J042806.60+563428.2,0,EW,,17.543,,r,(,,0.33,,r,,0.6600526,,67.02753,56.57451,87.590866,-1,GAIA,5.467899999999998
9945183,14021,B,VV Eri,0,EA/SD:,,11.0,,pg,,,12.0,,pg,,1.557586,,50.34417,-10.285,0.094269,-1,B,1.4299999999999997
10891640,1977133,,ZTF J195056.93+255702.9,0,EW,,19.087,,r,(,,0.371,,r,,0.2441756,,297.73721,25.95083,80.961842,-1,GAIA,9.33661
10937009,470645,B,CSS_J034104.1-031757,0,RRAB,,16.05,,CV,(,,1.02,,CV,,0.577768,:,55.26715,-3.29956,18.103543,-1,V,3.41
11704852,11355,B,V0435 Cyg,0,EA/SD,,12.7,,pg,,,15.0,,pg,,6.771923,,304.11244,38.76135,0.009523,-1,B,2.0340000000000007
11748495,577630,B,ASASSN-V J083555.57-341143.6,0,L,,13.44,,V,,,13.93,,V,,,,128.98155,-34.19544,101.659511,-1,V,3.933
11996814,1582884,,ZTF J020439.73+651722.4,0,EA,,16.2,,r,(,,0.205,,r,,0.8974848,,31.16558,65.28956,7.975359,-1,r,3.472199999999999
12419331,73403,B,ASAS J000815-2414.7,0,EW,,13.25,,V,(,,0.51,,V,,0.262432,,2.0645,-24.24772,59.891783,-1,V,4.98
12828458,1586072,,ZTF J021543.42+645131.2,0,EW:,,19.457,,r,(,,0.316,,r,,0.2790376,,33.93094,64.85868,104.649954,-1,GAIA,5.458400000000001
13168412,449585,B,GDS_J1629055-512011,0,VAR,,14.43,,r,(,,0.24,,r,,,,247.27327,-51.33657,113.893919,-1,GAIA,5.40868
13738984,289696,B,CSS_J085450.5-110357,0,RRAB,,16.323,,CV,(,,0.79,,CV,,0.5186235,,133.71059,-11.06592,101.440052,-1,V,6.159000000000001
13780749,2045876,,ZTF J202238.63+380940.7,0,RS,,17.332,,r,(,,0.094,,r,,5.1706072,,305.66096,38.16133,68.188922,-1,GAIA,6.9718
13967727,2046384,,ZTF J202301.83+391920.0,0,RS,,18.159,,r,(,,0.105,,r,,1.1395239,,305.75766,39.32223,80.606457,-1,GAIA,9.25329
13974582,2046391,,ZTF J202302.07+381834.9,0,EW,,19.605,,r,(,,0.368,,r,,0.3610556,,305.75866,38.30972,57.792704,-1,GAIA,7.4818
14611330,1504897,,ASASSN-V J072603.25+140503.9,0,VAR,,15.25,,V,,,15.84,,V,,428.0,,111.51355,14.08443,108.094903,-1,V,6.552
15445546,1546492,,WASP-87,0,EP,,10.73,,V,(,,0.008,,V,,1.682795,,185.32469,-52.84083,8.106736,-1,V,2.1986999999999988
16630397,1546549,,K2-237,0,EP,,11.6,,V,(,,0.014,,V,,2.1805577,,253.76889,-28.71056,29.167109,-1,V,1.2609999999999992
16728252,359375,B,UGPS J203117.5+413242.5,0,YSO,,14.87,,K,(,,1.0,,K,,,,307.82325,41.54514,92.964668,-1,K,7.504999999999999
17760009,487359,B,SSS_J090308.9-313752,0,EA,,15.49,,CV,(,,0.6,,CV,,0.595614,,135.78719,-31.6313,39.718193,-1,V,4.702999999999999
17862899,85158,B,ASAS J075428+1407.8,0,DSCT|EC,,12.38,,V,(,,0.51,,V,,0.189175,,118.61804,14.13039,58.540847,-1,V,2.3200000000000003
17901654,1701584,,ZTF J080521.51+401755.9,0,EW,,16.392,,g,(,,0.219,,g,,0.2825874,,121.33963,40.29887,34.506642,-1,B,6.038
19976193,654281,B,PS1-3PI J090646.52-084808.2,0,RRAB,,13.98,,r,(,,0.92,,r,,0.615058,,136.6939,-8.80228,24.048239,-1,GAIA,5.19697
20352516,50162,B,NSV 11538,2,,,10.3,,V,,,,,,,,,283.71917,33.96861,1.157847,-1,V,4.31324
20871923,1594885,,ZTF J024834.74+450047.7,0,EW,,16.087,,r,(,,0.365,,r,,0.3549346,,42.14475,45.01326,86.764361,-1,r,4.450200000000001
21174723,36608,B,RW Tri,0,EA/WD+NL,,12.5,,V,,,16.0,,V,,0.231883392,,36.40067,28.09747,0.069397,-1,V,1.4469999999999992
21639186,738251,,ASASSN-V J120130.42-440825.9,0,ROT,,14.21,,V,,,14.41,,V,,4.7234,,180.37676,-44.14053,35.58868,-1,V,3.5700000000000003
22767596,1504772,,ASASSN-V J071415.00-405416.1,0,EA,,14.99,,V,,,15.36,,V,,5.11377,,108.56249,-40.90447,41.362254,-1,V,3.1720000000000006
23500817,491838,B,SSS_J111535.2-340909,0,RRC,,15.67,,CV,(,,0.46,,CV,,0.307884,,168.89712,-34.15314,28.934623,-1,V,5.3149999999999995
23559851,491880,B,SSS_J111703.9-350838,0,EA,,15.39,,CV,(,,0.54,,CV,,0.324813,,169.26658,-35.14398,25.049684,-1,V,5.8100000000000005
24209611,361576,B,CSS_J005941.2-081247,0,EW,,13.79,,CV,(,,0.36,,CV,,0.355668,,14.92175,-8.21314,53.669246,-1,V,3.5229999999999997
24233297,285102,B,HAT-192-0001841,0,EW,,13.37,,CV,(,,0.4,,CV,,0.308742,,243.06965,41.23069,47.038675,-1,V,2.9179999999999993
24450633,9559,B,TV Col,0,UG/DQ+E,,12.1,,V,,,14.5,,V,,0.2285999,,82.35637,-32.81775,0.005789,-1,V,2.189
24536661,488079,B,SSS_J092425.4-313431,0,RRC,,14.26,,CV,(,,0.18,,CV,,0.2147305,,141.1061,-31.57539,19.672853,-1,V,2.630000000000001
24544791,1506531,,ASASSN-V J092505.13-355400.7,0,L,,14.67,,V,,,15.18,,V,,,,141.27138,-35.90019,61.732219,-1,V,6.97
25060155,714594,,ASASSN-V J093127.23-315115.0,0,EB,,14.46,,V,,,14.73,,V,,0.464785,,142.86347,-31.85416,89.288328,-1,V,8.55
25133286,16400,B,VW Hyi,0,UGSU,,8.4,,V,,,14.4,,V,,0.074271,,62.2975,-71.29489,0.051424,-1,V,5.913
25156751,488395,B,SSS_J093302.8-303101,0,EA,,13.47,,CV,(,,0.51,,CV,,3.48723,,143.26209,-30.51683,59.300798,-1,V,1.0739999999999998
25188036,19511,B,V0683 Mon,0,EA/DM,,8.21,,V,,,8.64,,V,,3.39274,,98.04696,-7.30631,70.081447,-1,V,11.11
25712220,488759,B,SSS_J094048.3-320439,0,EW,,13.34,,CV,(,,0.29,,CV,,0.281299,,145.20124,-32.07798,100.041533,-1,V,1.9060000000000006
25858367,1523329,,ASASSN-V J182501.52-304325.3,0,SR,,14.94,,V,,,15.27,,V,,330.0,,276.25633,-30.72368,118.387066,-1,V,9.36
25998400,382126,B,CSS_J130111.2-132012,0,EW,,14.16,,CV,(,,0.36,,CV,,0.365744,,195.2968,-13.33686,27.485557,-1,V,2.2430000000000003
27858644,1546214,,GSC 02628-01391,0,EA,,14.04,,V,,,14.75,:,V,,70.85,,278.92229,32.99458,45.383209,-1,V,4.630000000000003
28304399,1978575,,ZTF J195123.22+505621.4,0,EW,,14.963,,r,(,,0.465,,r,,0.9526888,,297.84678,50.93929,33.526153,-1,GAIA,3.617099999999999
28498786,1622561,,ZTF J043122.99+442444.2,0,BY,,20.036,,r,(,,0.336,,r,,8.2072923,,67.84582,44.4123,52.048779,-1,GAIA,8.645000000000001
29049712,427607,B,GDS_J0850136-465851,0,VAR,,13.97,,r,(,,0.29,,r,,,,132.557,-46.98105,33.582144,-1,GAIA,2.391300000000001
29395983,1705728,,ZTF J155659.98+394846.8,0,BY,,17.605,,r,(,,0.099,,r,,0.8469645,,239.24995,39.81302,117.890761,-1,GAIA,7.5421
29684896,640784,B,WISE J085259.7-471357,0,EW|EA,,12.491,,W1,(,,0.301,,W1,,0.6529912,,133.24881,-47.23272,83.291506,-1,w1,3.0730000000000004
29914747,491479,B,SSS_J110455.6-363254,0,EA,,14.44,,CV,(,,0.45,,CV,,0.771358,,166.23214,-36.54807,26.11962,-1,V,4.051
29939638,362604,B,CSS_J014038.1-143406,0,EA,,15.46,,CV,(,,0.25,,CV,,0.394237,,25.15912,-14.56853,103.662756,-1,V,2.9510000000000005
29986479,2219100,,LMC V0116,0,M,,14.0,,I,(,,2.5,,I,,360.0,,72.92646,-68.43178,94.12582,-1,T,5.993399999999999
29990592,844164,,ASASSN-V J045227.77-664358.0,0,L,,13.6,,V,,,13.73,,V,,,,73.11572,-66.73277,51.594334,-1,V,1.9949999999999992
30190076,2218543,,LMC V0221,0,M,,14.5,,I,(,,0.9,,I,,208.0,,73.58208,-69.44632,119.980704,-1,T,2.0329999999999995
30317214,272669,B,ASAS J045716-6824.7,0,VAR,,10.534,,Ic,(,,0.201,,Ic,,,,74.32,-68.41097,58.408485,-1,T,1.2371999999999996
30317282,272669,B,ASAS J045716-6824.7,0,VAR,,10.534,,Ic,(,,0.201,,Ic,,,,74.32,-68.41097,64.552607,-1,T,2.657
30562668,427804,B,GDS_J0857041-431517,0,VAR,,15.92,,r,(,,0.78,,r,,,,134.26723,-43.25478,37.674441,-1,GAIA,8.55516
30569481,427712,B,GDS_J0857465-430840,0,VAR,,14.09,,r,(,,0.23,,r,,,,134.44395,-43.14454,87.701126,-1,GAIA,4.9948999999999995
30631031,2220873,,LMC V0648,0,DCEP,,16.4,,B,,,17.3,,B,,2.799,,75.23633,-70.6392,101.760205,-1,B,8.482
30718115,2221328,,LMC V0684,0,RRAB,,18.7,,B,,,19.9,,B,,0.64373,,75.51757,-66.32803,63.054659,-1,B,5.77
30927975,625880,B,ASASSN-18abu,0,UG+E,,16.4,,CV,,,19.8,,G,,,,79.26887,-25.51761,0.024133,-1,V,2.2165999999999997
31281820,481710,B,SSS_J052925.3-285227,0,ROT,,13.9,,CV,(,,0.11,,CV,,2.133596,,82.35541,-28.87428,0.031549,-1,V,1.3294999999999995
31281821,481710,B,SSS_J052925.3-285227,0,ROT,,13.9,,CV,(,,0.11,,CV,,2.133596,,82.35541,-28.87428,40.636671,-1,GAIA,1.9214000000000002
31767465,84589,B,ASAS J074502-1022.5,0,MISC,,11.74,,V,(,,0.47,,V,,85.1,,116.25858,-10.3745,46.271631,-1,V,1.0879999999999992
31858844,1546870,,WASP-123,0,EP,,11.03,,V,(,,0.012,,V,,2.9776412,,289.4793,-32.85999,5.33273,-1,V,6.104799999999999
31998499,840131,,ASASSN-V J034224.89-655915.9,0,EA,,16.36,,V,,,17.22,,V,,0.742708,,55.60372,-65.98776,114.747311,-1,V,5.508999999999999
32051273,16461,B,BY Hyi,0,RRAB,,19.07,,B,,,19.98,,B,,,,56.95617,-71.60631,76.843048,-1,B,8.84
32599603,418549,B,GDS_J0657225-011746,0,VAR,,11.79,,r,(,,0.16,,r,,,,104.34414,-1.29619,13.127652,-1,GAIA,2.8512899999999988
32932888,1691287,,ZTF J065850.57-051142.6,0,EW,,17.322,,r,(,,0.355,,r,,0.2879712,,104.71074,-5.19517,54.982913,-1,GAIA,1.193200000000001
32959497,738827,,ASASSN-V J165142.69-305849.8,0,EA,,13.78,,V,,,14.2,,V,,5.0074,,252.92786,-30.98051,24.816652,-1,V,5.119999999999999
33091633,1691528,,ZTF J065935.71-044945.2,0,BY,,17.948,,r,(,,0.171,,r,,1.396232,,104.8988,-4.82924,102.45571,-1,GAIA,7.2918
34069197,37521,B,CD Vel,0,RRAB/BL,,11.3,,pg,,,12.4,,pg,,0.5735076,,146.15933,-45.877,0.110209,-1,B,1.109
