HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456776.51927,2014-04-29.0181027,be,2.18,15.478,11.744,0.008,76.944,0.556,V
2456776.52070,2014-04-29.0195385,be,2.21,15.474,11.755,0.008,76.238,0.539,V
2456790.46840,2014-05-12.9675001,be,2.26,15.398,11.754,0.009,76.222,0.576,V
2456790.46983,2014-05-12.9689377,be,2.27,15.325,11.741,0.009,77.146,0.613,V
2456794.51148,2014-05-17.0106631,be,1.55,15.477,11.751,0.007,76.422,0.524,V
2456794.51291,2014-05-17.0121034,be,1.54,15.460,11.758,0.008,75.972,0.538,V
2456797.47741,2014-05-19.9766547,be,1.50,15.385,11.756,0.009,76.073,0.578,V
2456797.47884,2014-05-19.9780878,be,1.44,15.496,11.752,0.007,76.367,0.510,V
2456804.46389,2014-05-26.9632918,be,1.46,15.515,11.767,0.007,75.349,0.499,V
2456804.46539,2014-05-26.9647901,be,1.47,15.514,11.760,0.007,75.841,0.496,V
2456806.48072,2014-05-28.9801622,be,1.65,99.990,99.990,99.990,99.990,99.990,V
2456806.48222,2014-05-28.9816586,be,1.67,14.794,11.737,0.014,77.504,0.987,V
2456809.46240,2014-05-31.9619096,be,1.72,15.488,11.748,0.007,76.700,0.517,V
2456809.46383,2014-05-31.9633390,be,1.68,15.483,11.762,0.007,75.765,0.516,V
2456811.45871,2014-06-02.9582559,be,1.57,15.498,11.740,0.007,77.239,0.519,V
2456811.46022,2014-06-02.9597696,be,1.50,15.505,11.739,0.007,77.332,0.505,V
2456814.45827,2014-06-05.9578846,be,1.51,15.500,11.776,0.007,74.746,0.511,V
2456814.45964,2014-06-05.9592572,be,1.60,15.486,11.757,0.008,76.053,0.529,V
2456817.47005,2014-06-08.9697298,be,1.55,15.457,11.765,0.008,75.484,0.559,V
2456817.47145,2014-06-08.9711378,be,1.59,15.396,11.759,0.008,75.882,0.559,V
2456818.46374,2014-06-09.9634483,be,2.50,15.337,11.750,0.009,76.586,0.622,V
2456818.46511,2014-06-09.9648178,be,2.45,15.361,11.739,0.009,77.337,0.605,V
2456827.47537,2014-06-18.9752743,be,1.55,15.377,11.756,0.008,76.168,0.566,V
2456827.47689,2014-06-18.9767927,be,1.57,15.336,11.762,0.009,75.697,0.600,V
2456883.93838,2014-08-14.4391924,be,1.66,15.117,11.779,0.011,74.531,0.744,V
2456890.92752,2014-08-21.4283839,be,1.51,15.368,11.785,0.008,74.129,0.568,V
2456890.92902,2014-08-21.4298859,be,1.54,15.338,11.781,0.009,74.375,0.607,V
2456903.90327,2014-09-03.4041765,be,1.53,15.136,11.758,0.011,75.973,0.737,V
2456903.90486,2014-09-03.4057741,be,1.49,15.286,11.775,0.009,74.748,0.622,V
2456905.90949,2014-09-05.4104001,be,1.54,15.517,11.762,0.007,75.756,0.503,V
2456905.91093,2014-09-05.4118405,be,1.58,15.505,11.758,0.008,75.933,0.522,V
2456906.88248,2014-09-06.3833906,be,2.01,15.474,11.769,0.007,75.179,0.528,V
2456906.88399,2014-09-06.3848908,be,2.01,15.502,11.786,0.008,74.088,0.521,V
2456915.87807,2014-09-15.3789636,be,1.43,15.285,11.776,0.010,74.718,0.631,V
2456915.87949,2014-09-15.3803859,be,1.48,15.342,11.766,0.008,75.382,0.588,V
