TIC ID,CTOI,Promoted to TOI,MASTER,SG1A,SG1B,SG2,SG3,SG4,SG5,User Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr),Transit Epoch (BJD),Transit Epoch (BJD) err,Period (days),Period (days) Error,Depth mmag,Depth mmag Error,Depth ppm,Depth ppm Error,Duration (hrs),Duration (hrs) Error,Inclination (deg),Inclination (deg) Error,Impact Param,Impact Param Error,Rad_p/Rad_s,Rad_p/Rad_s Error,a/Rad_s,a/Rad_s Error,Planet Radius (R_Earth),Planet Radius (R_Earth) Error,Mass (M_Earth),Mass (M_Earth) Error,Insolation (Earth Flux),Insolation (Earth Flux) Error,Equilibrium Temp (K),Equilibrium Temp (K) Error,Fitted Stellar Density (g/cm^3),Fitted Stellar Density (g/cm^3) Error,Semi-Major Axis (AU),Semi-Major Axis (AU) Error,Eccentricity,Eccentricity (Error),Arg of Periastron,Arg of Periastron Error,Time of Periastron (BJD),Time of Periastron (BJD) Error,Velocity Semi-amp (m/s),Velocity Semi-amp (m/s) Error,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,CTOI lastmod,User,Group,Tag,Notes
17361,17361.01,3127.01,,,,,,,,PC,,11.342,0.006,219.336233,-24.958522,-18.45,0.054,-9.49,0.05,2458596.9598,.0011,3.60677,0.00023,10.951496,,10036,,0.089,0.003,83.22,.33,.92,.03,.098,.012,7.77,.37,13.46,2.27,,,,,,,.68,.2,,,,,,,,,,,308.901,3.0255,5775.3,121.637,4.25352,.0784445,1.25819,.0622261,2020-08-10 07:20:18,montalto,,29419,"new CTOI, Montalto et al. (2020)"
160363,160363.01,,,,,,,,,PC,,11.1398,0.008,223.743901,-29.543332,22.487,0.07,-6.861,0.056,2458604.904,.0083,,,3.178614,0.036764,2923.33,33.86,3.144,2.5568,,,,,,,,,8.14,.047,,,,,,,,,,,,,,,,,,,450.111,7.561,6737,129.081,4.1546,.0936922,1.66309,.0759799,2021-02-11 04:13:20,steuer,,94179,"Found with our in-house single transit finder"
592503,592503.01,,,,,,,,,PC,,8.8498,0.007,71.735264,-29.290635,7.829,0.033,4.759,0.042,2458439.7465,.0071,1.78391,0.00088,0.512588,,472,,0.082,0.015,57.784,4.877,1.008,.002,.045,0,1.892,.432,15.469,1.159,,,,,,,.04,.037,,,,,,,,,,,233.777,1.1035,5420.7,70,,,3.23242,,2022-10-20 09:02:36,montalto,,420769,"new CTOI, Montalto (2022)"
769986,769986.01,,,,,,,,,PC,,14.483,0.007,74.909591,-25.307947,-1.8,0.048,-23.914,0.061,2458437.7471,.002,4.68794,0.00059,9.126952,,8371,,0.067,0,88.156,.56,.636,.105,.088,0,19.765,1.721,10.029,1.537,,,,,,,6.644,3.377,,,,,,,,,,,524.873,9.2145,4075,122,4.20725,,1.04351,,2022-10-20 09:04:55,montalto,,421495,"new CTOI, Montalto (2022)"
991806,991806.01,,,,,,,,,PC,,9.7819,0.007,165.596853,-5.050433,6.369,0.089,-31.31,0.056,2458539.3005,.0137,4.55723,0.00352,0.424606,,391,,0.189,0.017,83.077,2.261,.692,.061,.018,.003,5.745,.867,6.968,1.859,,,,,,,.173,.208,,,,,,,,,,,349.039,6.5225,5035.73,17.48,,,3.63923,,2022-10-20 09:02:36,montalto,,420793,"new CTOI, Montalto (2022)"
1042868,1042868.01,,,,,,,,,PC,,5.8706,0.006,154.116687,28.682071,-65.692,0.087,-95.513,0.068,2458891.665,,,,0.282328,,260,,21.792,,,,,,,,,,2.71,,,,,,,,,,,,,,,,,,,,33.2673,.0459,5838,97.6081,4.08561,.067918,1.53753,.0606935,2020-11-02 01:25:54,steuer,,36603,"Found with our in-house single transit finder; transit finder output attached under 'Files'; close to MD"
1166553,1166553.01,,,,,,,,,PC,,14.0931,0.007,70.909056,-35.978593,32.654,0.045,-16.891,0.071,2458412.4055,.0069,1.36922,0.0003,5.208808,,4786,,0.07,0.01,71.287,1.791,.995,.004,.114,0,3.101,.358,7.903,.553,,,,,,,.301,.18,,,,,,,,,,,251.993,1.931,3654,157,4.62151,.0117996,.635504,.019172,2022-10-20 09:04:55,montalto,,421487,"new CTOI, Montalto (2022)"
1449756,1449756.01,2480.01,,,,,,,,PC,,10.8256,0.006,75.174905,-34.815988,6.288,0.035,-21.633,0.045,2458414.8544,.0079,23.29865,,2.274827,,2093,,0.266,0.031,85.31,.93,.97,.14,.058,.108,11.84,3.67,12.17,23.22,,,,,,,.06,.06,,,,,,,,,,,470.356,5.0525,6421,133.96,3.98115,.0893677,1.922,.0878517,2020-08-10 07:20:18,montalto,,29333,"new CTOI, Montalto et al. (2020)"
1461133,1461133.01,,,,,,,,,PC,,15.4872,0.08,246.100971,-51.001197,-5.308,0.329,-3.325,0.196,2459220.1427,.0167,,,1.384142,0.002117,1274.03,1.95,4.6,3.98,,,,,,,,,9.05,.01,,,,,,,,,,,,,,,,,,,4471.42,2085.43,3052,122,,,,,2021-02-15 04:50:07,steuer,,94383,"Found with our in-house single transit finder"
1525480,1525480.01,2402.01,,,,,,,,PC,,12.2668,0.007,156.527712,-17.262814,-19.542,0.066,-37.036,0.068,2458543.3603,.0023,5.50987,0.00084,8.693458,,7975,,0.136,0.008,87.2,.69,.58,.09,.083,.011,11.84,.83,8.75,1.59,,,,,,,1.03,.36,,,,,,,,,,,345.003,7.1805,5519,127.048,4.45477,.0830699,.966127,.0533869,2020-08-10 07:20:18,montalto,,29401,"new CTOI, Montalto et al. (2020)"
